rt,corr,trial_type
0.5671,1.0,congruent
1.0509,0.0,incongruent
1.0949,1.0,incongruent
0.488,1.0,congruent
0.6923,1.0,incongruent
0.9135,1.0,incongruent
0.6524,1.0,congruent
0.7841,1.0,incongruent
1.0121,1.0,congruent
0.5384,1.0,incongruent
0.94,1.0,congruent
0.735,1.0,incongruent
0.3875,1.0,congruent
0.6265,1.0,incongruent
0.4713,1.0,congruent
1.0695,1.0,incongruent
0.4731,1.0,incongruent
0.6542,1.0,congruent
1.0817,1.0,incongruent
0.5911,1.0,congruent
0.6406,1.0,congruent
0.7791,1.0,congruent
0.948,1.0,incongruent
0.9166,1.0,congruent
0.5819,1.0,congruent
0.6867,1.0,incongruent
0.8733,1.0,congruent
0.5405,1.0,congruent
0.6692,1.0,incongruent
0.6771,1.0,incongruent
0.5133,1.0,incongruent
0.9503,1.0,incongruent
0.3744,1.0,congruent
0.483,1.0,congruent
0.8486,1.0,incongruent
0.4536,1.0,incongruent
1.288,0.0,congruent
0.4676,1.0,congruent
0.5962,1.0,incongruent
1.8063,1.0,incongruent
0.4711,1.0,congruent
0.6431,1.0,incongruent
0.4342,1.0,congruent
0.5807,1.0,incongruent
0.6168,1.0,congruent
0.4316,1.0,congruent
1.4595,1.0,incongruent
0.5414,1.0,congruent
0.9656,1.0,incongruent
0.7302,1.0,incongruent
0.599,1.0,congruent
0.6228,1.0,congruent
0.7167,1.0,congruent
0.683,1.0,congruent
0.4368,1.0,incongruent
0.5545,1.0,congruent
0.4859,1.0,congruent
0.9482,1.0,congruent
0.5046,1.0,congruent
0.9488,1.0,incongruent
0.5495,1.0,incongruent
0.69,1.0,incongruent
0.4739,1.0,incongruent
0.7816,1.0,congruent
0.6318,1.0,incongruent
0.4333,1.0,incongruent
0.4361,1.0,incongruent
0.5398,1.0,congruent
0.6068,1.0,incongruent
0.7012,1.0,incongruent
0.7168,1.0,congruent
0.7091,1.0,congruent
0.6048,1.0,congruent
0.404,1.0,incongruent
0.544,1.0,congruent
1.2459,1.0,incongruent
0.401,1.0,incongruent
0.3525,1.0,incongruent
0.6886,1.0,incongruent
0.4357,1.0,incongruent
1.8324,1.0,incongruent
0.8029,1.0,congruent
0.709,1.0,congruent
0.4142,1.0,incongruent
0.316,1.0,congruent
0.6087,1.0,congruent
0.9183,1.0,incongruent
0.4953,1.0,congruent
0.3823,1.0,incongruent
0.5462,1.0,congruent
0.5037,1.0,congruent
0.8064,0.0,incongruent
0.7124,1.0,congruent
0.6312,1.0,incongruent
0.4433,1.0,congruent
0.4494,1.0,congruent
0.3642,1.0,congruent
0.9525,1.0,congruent
0.2807,1.0,congruent
0.5565,1.0,congruent
0.359,1.0,congruent
0.2874,1.0,incongruent
0.4577,0.0,congruent
0.4987,1.0,incongruent
0.8721,1.0,incongruent
0.8153,1.0,incongruent
0.4878,0.0,congruent
1.1724,1.0,incongruent
0.6192,1.0,congruent
0.4901,1.0,congruent
1.0145,0.0,incongruent
2.2636,1.0,incongruent
0.7794,1.0,incongruent
0.5653,1.0,incongruent
0.4222,1.0,incongruent
0.3999,1.0,congruent
0.6888,1.0,congruent
0.7818,1.0,congruent
0.7206,0.0,incongruent
2.4932,1.0,incongruent
