rt,corr,trial_type
1.2302,1.0,congruent
2.9148,0.0,incongruent
2.1637,1.0,congruent
1.0468,1.0,congruent
1.0719,1.0,congruent
1.1396,1.0,incongruent
1.021,1.0,congruent
0.5672,1.0,congruent
0.879,1.0,incongruent
1.3373,1.0,incongruent
1.4119,1.0,congruent
0.9755,1.0,incongruent
0.7185,1.0,congruent
0.7577,1.0,incongruent
0.8733,1.0,incongruent
0.4158,1.0,incongruent
1.3783,1.0,congruent
1.7707,1.0,incongruent
0.8146,1.0,incongruent
0.7861,1.0,incongruent
0.9147,1.0,congruent
0.7461,1.0,congruent
0.3974,1.0,congruent
1.8642,1.0,incongruent
0.3332,1.0,incongruent
1.3312,1.0,congruent
0.999,1.0,congruent
0.8786,1.0,incongruent
0.6094,1.0,incongruent
1.1469,1.0,incongruent
0.8376,1.0,incongruent
1.6993,1.0,incongruent
0.6617,1.0,incongruent
0.3869,1.0,congruent
0.657,1.0,incongruent
0.4152,1.0,congruent
1.8553,1.0,incongruent
2.0837,1.0,incongruent
0.9801,1.0,incongruent
0.5484,1.0,congruent
1.67,1.0,congruent
2.0188,1.0,congruent
0.8528,1.0,congruent
0.7007,1.0,congruent
0.6987,1.0,congruent
0.8208,0.0,congruent
1.2565,1.0,congruent
0.7691,1.0,incongruent
1.6298,1.0,incongruent
0.9716,1.0,congruent
1.88,1.0,incongruent
1.0968,1.0,congruent
2.0323,1.0,incongruent
0.8479,1.0,incongruent
0.6562,1.0,incongruent
0.4987,1.0,incongruent
0.6718,1.0,incongruent
0.6976,1.0,incongruent
2.604,1.0,incongruent
0.4308,1.0,congruent
0.5689,1.0,congruent
0.5865,1.0,congruent
0.4007,1.0,incongruent
0.44,1.0,congruent
0.8152,1.0,congruent
0.47,1.0,congruent
0.4857,1.0,congruent
1.485,1.0,incongruent
1.6647,1.0,congruent
1.8144,1.0,incongruent
0.6305,1.0,congruent
0.6838,1.0,congruent
0.5316,1.0,congruent
0.8153,1.0,congruent
2.6353,1.0,incongruent
2.0984,1.0,incongruent
1.1203,1.0,incongruent
1.8509,1.0,incongruent
1.567,1.0,incongruent
1.4313,0.0,incongruent
0.8064,1.0,congruent
0.7375,1.0,congruent
0.955,1.0,congruent
0.3829,1.0,incongruent
0.4415,1.0,incongruent
0.6154,1.0,congruent
1.1811,1.0,congruent
0.6867,1.0,incongruent
0.5823,1.0,congruent
0.8612,1.0,congruent
0.8128,1.0,incongruent
0.8982,1.0,incongruent
0.8062,1.0,congruent
2.5371,1.0,congruent
0.7198,0.0,incongruent
0.5154,1.0,congruent
1.2035,1.0,incongruent
0.52,1.0,congruent
0.404,1.0,congruent
0.7481,1.0,incongruent
0.5822,1.0,congruent
0.8475,1.0,congruent
0.3486,1.0,incongruent
0.6053,1.0,congruent
1.1304,1.0,congruent
0.8477,1.0,incongruent
0.9319,1.0,incongruent
0.9159,1.0,congruent
0.7964,1.0,congruent
0.425,1.0,congruent
0.3984,1.0,incongruent
0.6315,1.0,incongruent
0.3662,1.0,incongruent
0.5836,1.0,incongruent
0.8801,1.0,congruent
0.95,1.0,incongruent
1.1735,1.0,congruent
0.3997,1.0,incongruent
0.5488,1.0,congruent
0.4155,1.0,incongruent
