rt,corr,trial_type
1.8567,0.0,congruent
1.2574,1.0,incongruent
0.4942,1.0,incongruent
1.4955,1.0,incongruent
1.5067,1.0,incongruent
0.7144,1.0,congruent
0.6466,1.0,congruent
0.7985,1.0,incongruent
0.4943,1.0,congruent
0.576,1.0,congruent
0.5091,0.0,congruent
1.0568,1.0,incongruent
0.7429,1.0,incongruent
0.5508,1.0,incongruent
0.5139,1.0,congruent
0.7428,1.0,incongruent
0.9578,1.0,incongruent
0.5985,1.0,congruent
1.7086,1.0,incongruent
0.7365,1.0,congruent
1.3816,1.0,incongruent
0.4726,1.0,congruent
0.7872,1.0,congruent
0.6113,1.0,congruent
0.528,1.0,congruent
0.5686,1.0,incongruent
0.4721,1.0,congruent
1.3055,1.0,incongruent
0.521,0.0,congruent
0.5145,1.0,incongruent
0.8407,1.0,incongruent
0.4659,1.0,incongruent
0.6738,1.0,incongruent
1.8888,1.0,congruent
0.1813,0.0,congruent
0.8265,1.0,congruent
0.7853,1.0,congruent
0.7369,1.0,congruent
0.5976,1.0,incongruent
0.4866,1.0,congruent
1.6395,1.0,congruent
0.5625,1.0,incongruent
0.9097,1.0,incongruent
0.9376,1.0,incongruent
0.6459,1.0,incongruent
0.9516,1.0,incongruent
0.6878,1.0,congruent
0.5547,1.0,congruent
1.7499,1.0,congruent
0.6682,1.0,congruent
0.8263,1.0,incongruent
0.6876,1.0,congruent
0.5837,1.0,incongruent
0.6041,0.0,congruent
0.6595,0.0,incongruent
0.8126,0.0,incongruent
1.1665,1.0,congruent
0.6184,0.0,congruent
0.5766,0.0,congruent
0.8958,1.0,incongruent
0.5561,1.0,incongruent
1.7987,1.0,congruent
0.6809,1.0,incongruent
0.6945,1.0,congruent
0.4793,1.0,congruent
0.5347,1.0,congruent
1.1529,0.0,incongruent
1.3956,1.0,incongruent
0.5906,1.0,congruent
1.0002,1.0,incongruent
1.1458,1.0,incongruent
0.6394,1.0,incongruent
0.91,1.0,congruent
1.0627,1.0,congruent
1.1322,1.0,congruent
0.431,1.0,incongruent
0.6173,0.0,incongruent
0.4724,1.0,incongruent
0.986,1.0,incongruent
1.3544,0.0,incongruent
0.9237,1.0,incongruent
0.7844,1.0,congruent
0.7504,1.0,incongruent
1.2015,1.0,incongruent
0.8965,1.0,incongruent
0.3682,1.0,incongruent
0.3824,1.0,incongruent
0.8197,1.0,incongruent
0.7852,1.0,congruent
0.7086,1.0,congruent
0.3817,1.0,congruent
0.4237,1.0,congruent
0.5905,0.0,congruent
0.4308,1.0,congruent
0.3545,1.0,congruent
0.4307,1.0,congruent
0.5694,1.0,congruent
0.6947,1.0,congruent
0.8682,1.0,incongruent
1.2777,1.0,incongruent
1.1044,1.0,congruent
1.1667,1.0,incongruent
1.1743,1.0,incongruent
1.1526,1.0,congruent
0.5765,1.0,congruent
0.7227,1.0,incongruent
1.0699,1.0,incongruent
0.7223,1.0,congruent
0.6874,1.0,incongruent
0.771,1.0,congruent
0.6461,1.0,incongruent
0.3684,1.0,congruent
1.2153,1.0,congruent
1.514,1.0,congruent
0.8403,1.0,incongruent
1.2365,1.0,incongruent
0.9652,1.0,congruent
0.5703,1.0,incongruent
1.5347,1.0,incongruent
0.5279,1.0,congruent
