rt,corr,trial_type
0.8264,0.0,incongruent
0.7376,1.0,incongruent
0.7178,1.0,congruent
0.6433,1.0,congruent
0.7044,1.0,incongruent
0.6278,1.0,congruent
0.9799,1.0,congruent
0.9982,1.0,congruent
0.5236,1.0,congruent
1.2107,1.0,incongruent
1.0239,1.0,incongruent
0.6381,1.0,congruent
0.946,1.0,incongruent
0.8943,1.0,congruent
1.1438,1.0,incongruent
0.7221,1.0,congruent
1.1477,1.0,incongruent
1.0831,1.0,congruent
0.9999,1.0,incongruent
0.9575,1.0,congruent
1.6518,1.0,incongruent
1.1896,1.0,incongruent
0.5876,1.0,congruent
0.9615,1.0,incongruent
0.7677,1.0,congruent
1.1045,1.0,incongruent
0.8085,1.0,incongruent
1.0111,1.0,congruent
0.7388,1.0,congruent
1.5962,1.0,congruent
0.7101,1.0,incongruent
1.0003,1.0,incongruent
1.0585,1.0,congruent
0.7156,1.0,incongruent
0.7261,1.0,congruent
0.8119,1.0,congruent
0.8542,1.0,incongruent
1.8607,1.0,incongruent
0.5596,1.0,congruent
0.8054,1.0,incongruent
0.8348,1.0,incongruent
0.5767,1.0,congruent
0.5531,1.0,incongruent
1.248,1.0,congruent
0.6242,1.0,congruent
1.1751,1.0,incongruent
0.8619,1.0,incongruent
0.597,1.0,congruent
1.7158,1.0,incongruent
1.149,1.0,incongruent
0.8499,1.0,congruent
0.8279,1.0,incongruent
1.1349,1.0,incongruent
0.8098,1.0,congruent
1.1611,1.0,congruent
0.888,1.0,incongruent
0.5994,1.0,congruent
0.8082,1.0,congruent
0.6239,1.0,congruent
1.0022,1.0,congruent
0.7532,1.0,congruent
0.7148,1.0,congruent
0.8907,1.0,congruent
1.2214,1.0,incongruent
1.5895,1.0,incongruent
0.7386,1.0,congruent
0.7306,1.0,incongruent
1.0053,1.0,incongruent
0.5729,1.0,congruent
0.709,1.0,incongruent
0.7276,1.0,incongruent
1.012,1.0,incongruent
0.9855,1.0,incongruent
0.8812,1.0,congruent
1.0553,1.0,incongruent
1.2168,1.0,incongruent
1.1529,1.0,incongruent
1.4794,1.0,incongruent
1.3527,1.0,congruent
1.3806,1.0,incongruent
1.1506,1.0,incongruent
1.0398,1.0,incongruent
1.155,1.0,incongruent
0.7501,1.0,congruent
0.8072,1.0,congruent
2.0179,1.0,incongruent
1.4571,1.0,congruent
0.7158,1.0,congruent
0.752,1.0,incongruent
0.6171,1.0,congruent
0.7684,1.0,congruent
0.7638,1.0,congruent
0.5649,1.0,congruent
0.7448,1.0,congruent
0.6254,1.0,congruent
0.7482,1.0,incongruent
0.8472,1.0,congruent
0.5965,1.0,congruent
0.7871,1.0,incongruent
0.8896,1.0,congruent
0.8161,1.0,congruent
0.941,1.0,incongruent
0.7629,1.0,congruent
0.6621,1.0,congruent
0.6634,1.0,congruent
1.3297,1.0,incongruent
0.8409,1.0,incongruent
0.7757,1.0,incongruent
0.6825,1.0,congruent
0.8436,1.0,incongruent
0.8758,1.0,incongruent
0.6116,1.0,incongruent
0.7359,1.0,congruent
0.7942,1.0,incongruent
0.6738,1.0,incongruent
1.1468,1.0,congruent
0.6779,1.0,congruent
0.7898,1.0,incongruent
2.0144,1.0,incongruent
0.5755,1.0,congruent
