rt,corr,trial_type
2.7676,0.0,incongruent
1.8718,1.0,congruent
3.1667,1.0,incongruent
0.7353,1.0,incongruent
0.9583,1.0,congruent
0.7571,1.0,congruent
1.6166,1.0,incongruent
0.5961,1.0,incongruent
2.2274,1.0,incongruent
1.8353,1.0,incongruent
0.8055,1.0,congruent
0.634,1.0,incongruent
0.5841,1.0,congruent
0.5763,1.0,congruent
0.6012,1.0,congruent
0.6503,1.0,congruent
0.7921,0.0,congruent
1.9428,1.0,congruent
0.589,1.0,congruent
0.4951,1.0,congruent
1.6337,1.0,incongruent
0.7831,1.0,incongruent
1.027,1.0,incongruent
0.7431,1.0,incongruent
1.0343,1.0,congruent
2.2353,1.0,incongruent
2.7289,1.0,congruent
0.7431,1.0,congruent
1.2109,1.0,incongruent
3.0685,1.0,incongruent
0.6793,1.0,congruent
0.9418,1.0,congruent
0.534,1.0,congruent
1.0721,1.0,incongruent
1.4835,1.0,incongruent
1.1532,1.0,congruent
1.3542,1.0,incongruent
2.8837,1.0,congruent
2.5328,1.0,incongruent
0.6552,1.0,congruent
2.0501,1.0,incongruent
1.0611,1.0,incongruent
1.7166,1.0,incongruent
1.033,1.0,congruent
0.7405,1.0,incongruent
2.533,1.0,congruent
1.1356,1.0,congruent
0.6263,1.0,incongruent
1.0019,1.0,congruent
0.6698,1.0,congruent
1.1864,1.0,incongruent
1.0534,1.0,incongruent
1.8764,1.0,incongruent
0.6329,1.0,congruent
2.4058,0.0,incongruent
1.4393,1.0,incongruent
0.7866,1.0,congruent
0.641,1.0,incongruent
0.6349,1.0,congruent
0.6727,1.0,incongruent
2.1163,0.0,incongruent
1.2585,1.0,congruent
1.224,1.0,congruent
0.8843,1.0,congruent
0.7346,1.0,congruent
1.3163,1.0,incongruent
0.8537,0.0,congruent
1.3454,1.0,incongruent
0.703,1.0,congruent
1.1184,1.0,incongruent
0.6238,0.0,incongruent
0.82,1.0,congruent
0.6695,1.0,congruent
1.7387,1.0,incongruent
0.5943,1.0,incongruent
1.0676,1.0,incongruent
0.5677,1.0,congruent
1.5182,1.0,congruent
1.052,0.0,incongruent
0.8264,0.0,incongruent
0.9782,1.0,congruent
3.5452,1.0,congruent
0.9501,0.0,incongruent
1.9995,1.0,incongruent
3.1996,1.0,congruent
0.8839,1.0,incongruent
2.5336,1.0,incongruent
0.6855,1.0,congruent
1.1669,1.0,congruent
0.8175,1.0,congruent
2.3683,1.0,congruent
1.5103,1.0,incongruent
0.958,1.0,incongruent
0.7748,1.0,congruent
0.8394,1.0,incongruent
0.7283,1.0,congruent
0.7019,1.0,congruent
3.253,1.0,congruent
1.2305,1.0,incongruent
0.8736,1.0,incongruent
1.8886,1.0,congruent
0.6864,1.0,incongruent
0.8775,1.0,incongruent
2.5187,1.0,congruent
1.1584,1.0,incongruent
4.3277,1.0,incongruent
0.5982,1.0,incongruent
0.7017,1.0,congruent
3.7428,1.0,incongruent
0.5077,1.0,congruent
0.651,1.0,incongruent
0.9382,0.0,congruent
1.4529,1.0,congruent
0.567,1.0,congruent
1.717,1.0,congruent
2.9,1.0,incongruent
0.6601,1.0,congruent
0.6769,1.0,congruent
2.3037,1.0,incongruent
1.65,1.0,incongruent
