rt,corr,trial_type
1.0753,1.0,congruent
0.4403,1.0,congruent
0.7163,1.0,congruent
0.5784,1.0,incongruent
0.6194,1.0,congruent
0.5215,1.0,congruent
0.4688,1.0,congruent
1.0637,1.0,incongruent
0.4643,1.0,congruent
0.5766,1.0,congruent
0.4407,1.0,incongruent
0.9062,1.0,incongruent
0.5638,1.0,incongruent
0.5221,1.0,congruent
0.5801,1.0,congruent
0.5225,1.0,incongruent
0.3907,1.0,incongruent
0.6635,1.0,incongruent
0.6172,1.0,incongruent
0.6829,1.0,congruent
0.6894,1.0,incongruent
0.5521,0.0,congruent
0.8762,1.0,incongruent
1.2729,0.0,incongruent
0.5839,1.0,congruent
0.9055,1.0,incongruent
0.9001,1.0,incongruent
0.4903,1.0,congruent
0.5774,1.0,incongruent
0.5078,1.0,congruent
0.5449,0.0,incongruent
0.8276,1.0,congruent
1.2593,1.0,incongruent
0.4462,1.0,congruent
1.0653,1.0,incongruent
0.4732,1.0,congruent
0.9036,1.0,incongruent
0.5439,0.0,incongruent
0.9137,1.0,congruent
0.9971,1.0,incongruent
0.5558,1.0,congruent
0.986,1.0,congruent
0.4904,1.0,incongruent
0.5005,1.0,congruent
0.4339,1.0,incongruent
0.45,1.0,congruent
0.5329,1.0,congruent
0.4368,1.0,incongruent
0.5142,1.0,congruent
0.5792,1.0,incongruent
0.5048,1.0,incongruent
0.4042,1.0,congruent
0.6647,1.0,congruent
0.4197,1.0,incongruent
0.6085,1.0,congruent
0.8546,1.0,incongruent
0.4679,1.0,congruent
0.9292,0.0,incongruent
0.774,1.0,incongruent
0.5823,1.0,congruent
0.5727,1.0,congruent
0.5629,1.0,incongruent
0.5415,1.0,congruent
1.1028,1.0,incongruent
0.6517,1.0,congruent
0.4147,1.0,congruent
1.6951,1.0,incongruent
0.4619,1.0,congruent
1.2177,1.0,incongruent
1.0361,1.0,congruent
0.9048,1.0,incongruent
0.4408,1.0,incongruent
0.4737,1.0,incongruent
1.9915,1.0,incongruent
0.6605,1.0,incongruent
0.5009,1.0,congruent
0.5704,1.0,congruent
0.8243,1.0,congruent
0.7997,1.0,incongruent
0.4953,1.0,congruent
0.6291,1.0,congruent
0.672,1.0,incongruent
0.4989,1.0,congruent
0.5307,1.0,congruent
0.5573,1.0,congruent
0.8192,1.0,incongruent
0.5032,1.0,incongruent
0.5004,1.0,incongruent
1.0434,1.0,congruent
0.5726,1.0,congruent
0.4312,1.0,incongruent
1.091,1.0,incongruent
0.5006,1.0,congruent
0.7281,1.0,incongruent
0.445,1.0,congruent
0.4461,1.0,incongruent
0.577,1.0,congruent
0.8199,1.0,incongruent
0.3978,1.0,congruent
1.1976,1.0,incongruent
1.1783,1.0,incongruent
0.5571,0.0,congruent
0.4973,1.0,incongruent
1.0223,1.0,incongruent
0.829,1.0,incongruent
0.6278,1.0,incongruent
0.8834,1.0,incongruent
0.6568,1.0,congruent
0.8833,1.0,incongruent
0.4738,1.0,congruent
0.6327,1.0,congruent
0.6697,1.0,congruent
0.5517,1.0,incongruent
0.7791,1.0,congruent
0.741,1.0,incongruent
0.581,1.0,congruent
1.0427,1.0,incongruent
0.8827,1.0,congruent
0.5283,1.0,congruent
0.7722,1.0,congruent
