angle,corr,rt,trial_type
0.0,1.0,2.4285,Practice
50.0,1.0,2.4433,Practice
150.0,1.0,4.9271,Practice
150.0,1.0,3.2958,Practice
50.0,1.0,3.5812,Practice
50.0,1.0,1.6382,Practice
50.0,1.0,2.6982,Practice
100.0,0.0,3.912,Practice
100.0,1.0,1.8719,Practice
0.0,1.0,1.4639,Practice
150.0,1.0,3.6053,Practice
0.0,0.0,1.048,Practice
150.0,0.0,3.4156,Practice
100.0,1.0,5.8386,Practice
0.0,1.0,4.4359,Practice
100.0,1.0,2.0278,Practice
50.0,1.0,2.7345,Practice
50.0,1.0,2.2343,Practice
150.0,1.0,3.3971,Practice
150.0,1.0,3.5968,Practice
0.0,1.0,1.9752,Practice
0.0,1.0,1.4727,Practice
100.0,1.0,2.7491,Practice
100.0,0.0,,Practice
50.0,1.0,2.8466,Exp
0.0,1.0,4.3944,Exp
150.0,0.0,3.5026,Exp
0.0,1.0,1.0774,Exp
50.0,1.0,2.829,Exp
100.0,1.0,5.5221,Exp
50.0,1.0,2.011,Exp
150.0,0.0,3.8787,Exp
100.0,0.0,4.4228,Exp
100.0,1.0,5.2565,Exp
100.0,0.0,2.6358,Exp
100.0,0.0,3.3623,Exp
50.0,1.0,1.9362,Exp
50.0,1.0,1.684,Exp
0.0,1.0,1.0323,Exp
0.0,1.0,0.8281,Exp
150.0,0.0,2.9135,Exp
100.0,1.0,5.8059,Exp
0.0,0.0,0.8673,Exp
100.0,0.0,7.369,Exp
50.0,1.0,0.8455,Exp
0.0,1.0,1.0007,Exp
0.0,1.0,1.3121,Exp
50.0,1.0,2.9709,Exp
50.0,1.0,4.0928,Exp
100.0,1.0,1.4799,Exp
100.0,1.0,4.1485,Exp
50.0,1.0,1.881,Exp
0.0,1.0,1.0958,Exp
150.0,1.0,3.3817,Exp
100.0,1.0,1.846,Exp
150.0,1.0,4.8789,Exp
50.0,0.0,2.8058,Exp
150.0,1.0,4.7286,Exp
100.0,1.0,6.7953,Exp
100.0,1.0,5.2647,Exp
100.0,0.0,3.2991,Exp
0.0,1.0,0.7944,Exp
150.0,0.0,,Exp
50.0,1.0,4.2636,Exp
0.0,1.0,0.8118,Exp
0.0,1.0,1.0028,Exp
0.0,1.0,1.1768,Exp
50.0,1.0,0.8006,Exp
100.0,1.0,4.3099,Exp
150.0,1.0,4.5358,Exp
100.0,1.0,3.3327,Exp
100.0,0.0,1.4125,Exp
100.0,1.0,1.5957,Exp
0.0,0.0,1.1371,Exp
150.0,1.0,5.4713,Exp
150.0,0.0,0.9806,Exp
100.0,1.0,2.8292,Exp
150.0,1.0,1.884,Exp
50.0,1.0,1.1015,Exp
150.0,0.0,1.2223,Exp
150.0,0.0,2.1111,Exp
0.0,1.0,1.2107,Exp
0.0,1.0,1.1506,Exp
50.0,1.0,1.4125,Exp
50.0,1.0,2.0356,Exp
100.0,0.0,1.9013,Exp
150.0,1.0,2.2554,Exp
150.0,1.0,1.6139,Exp
150.0,1.0,1.8634,Exp
50.0,1.0,3.5622,Exp
0.0,1.0,1.0975,Exp
0.0,1.0,0.7481,Exp
0.0,1.0,1.0461,Exp
50.0,1.0,0.8455,Exp
0.0,1.0,1.1785,Exp
150.0,1.0,1.4768,Exp
150.0,0.0,2.2014,Exp
50.0,1.0,1.3781,Exp
100.0,1.0,1.488,Exp
0.0,1.0,0.9225,Exp
150.0,1.0,1.211,Exp
0.0,1.0,1.7774,Exp
150.0,1.0,1.2116,Exp
150.0,1.0,1.6414,Exp
50.0,1.0,1.8099,Exp
0.0,1.0,1.4106,Exp
50.0,1.0,2.6174,Exp
150.0,0.0,1.3495,Exp
50.0,1.0,1.1831,Exp
50.0,0.0,2.2844,Exp
50.0,1.0,2.8433,Exp
100.0,1.0,3.8112,Exp
150.0,1.0,3.0105,Exp
100.0,1.0,4.1515,Exp
100.0,1.0,1.8988,Exp
50.0,1.0,1.0801,Exp
100.0,1.0,1.406,Exp
0.0,1.0,1.1606,Exp
150.0,0.0,0.7606,Exp
0.0,0.0,1.423,Exp
