angle,corr,rt,trial_type
50.0,1.0,4.599,Practice
50.0,1.0,5.309,Practice
100.0,1.0,4.915,Practice
0.0,0.0,,Practice
150.0,1.0,3.587,Practice
100.0,1.0,2.349,Practice
0.0,1.0,1.566,Practice
100.0,1.0,3.216,Practice
50.0,1.0,2.615,Practice
0.0,1.0,1.275,Practice
50.0,1.0,1.506,Practice
150.0,1.0,2.255,Practice
150.0,1.0,3.078,Practice
0.0,1.0,1.209,Practice
150.0,1.0,1.986,Practice
100.0,1.0,2.101,Practice
0.0,1.0,1.146,Practice
50.0,1.0,2.967,Practice
150.0,1.0,2.79,Practice
100.0,1.0,3.328,Practice
50.0,1.0,2.014,Practice
150.0,0.0,1.764,Practice
0.0,1.0,5.365,Practice
100.0,1.0,3.421,Practice
50.0,1.0,3.143,Exp
100.0,1.0,7.012,Exp
0.0,1.0,1.153,Exp
0.0,1.0,1.769,Exp
50.0,1.0,2.23,Exp
50.0,1.0,2.481,Exp
0.0,1.0,2.064,Exp
0.0,1.0,1.047,Exp
100.0,1.0,2.737,Exp
150.0,1.0,4.747,Exp
150.0,1.0,2.721,Exp
0.0,1.0,0.975,Exp
150.0,1.0,3.623,Exp
0.0,1.0,1.367,Exp
150.0,1.0,2.392,Exp
150.0,1.0,4.334,Exp
100.0,1.0,3.111,Exp
150.0,1.0,2.598,Exp
100.0,1.0,2.441,Exp
100.0,1.0,1.524,Exp
50.0,1.0,1.176,Exp
100.0,1.0,2.071,Exp
50.0,1.0,3.606,Exp
150.0,1.0,2.387,Exp
150.0,1.0,1.616,Exp
0.0,1.0,1.36,Exp
100.0,1.0,2.514,Exp
50.0,1.0,1.925,Exp
50.0,1.0,0.984,Exp
100.0,0.0,,Exp
0.0,1.0,1.378,Exp
100.0,1.0,2.393,Exp
0.0,1.0,0.791,Exp
0.0,1.0,1.06,Exp
100.0,1.0,3.432,Exp
0.0,0.0,1.115,Exp
150.0,1.0,2.015,Exp
100.0,1.0,2.8,Exp
50.0,1.0,1.779,Exp
0.0,1.0,0.992,Exp
150.0,1.0,2.526,Exp
0.0,1.0,1.035,Exp
0.0,1.0,1.666,Exp
50.0,1.0,1.015,Exp
50.0,1.0,2.338,Exp
50.0,1.0,3.726,Exp
150.0,0.0,1.961,Exp
150.0,0.0,2.264,Exp
0.0,1.0,1.0,Exp
0.0,1.0,1.011,Exp
0.0,1.0,1.604,Exp
100.0,1.0,3.058,Exp
150.0,1.0,1.54,Exp
50.0,1.0,1.487,Exp
50.0,1.0,1.274,Exp
150.0,1.0,2.215,Exp
150.0,0.0,1.839,Exp
0.0,1.0,1.791,Exp
100.0,1.0,1.992,Exp
50.0,1.0,0.971,Exp
100.0,1.0,4.294,Exp
150.0,0.0,3.507,Exp
0.0,1.0,1.868,Exp
50.0,1.0,2.649,Exp
100.0,0.0,2.318,Exp
50.0,1.0,2.722,Exp
150.0,1.0,3.971,Exp
150.0,1.0,1.541,Exp
0.0,1.0,3.39,Exp
50.0,1.0,2.804,Exp
50.0,1.0,2.441,Exp
50.0,1.0,2.585,Exp
100.0,1.0,1.621,Exp
100.0,1.0,2.199,Exp
100.0,1.0,2.232,Exp
100.0,1.0,2.635,Exp
0.0,1.0,1.11,Exp
50.0,0.0,1.743,Exp
100.0,1.0,3.274,Exp
150.0,1.0,1.385,Exp
150.0,1.0,2.638,Exp
150.0,1.0,2.556,Exp
100.0,1.0,2.775,Exp
150.0,1.0,2.952,Exp
100.0,1.0,1.995,Exp
0.0,1.0,3.534,Exp
0.0,1.0,4.441,Exp
50.0,1.0,2.686,Exp
150.0,0.0,2.747,Exp
150.0,1.0,2.172,Exp
50.0,1.0,2.086,Exp
50.0,1.0,2.639,Exp
100.0,1.0,2.384,Exp
0.0,1.0,1.586,Exp
100.0,1.0,4.245,Exp
50.0,1.0,1.53,Exp
