angle,corr,rt,trial_type
0.0,0.0,0.79,Practice
100.0,1.0,2.648,Practice
0.0,1.0,1.561,Practice
0.0,1.0,0.991,Practice
100.0,1.0,1.859,Practice
150.0,1.0,1.726,Practice
150.0,1.0,1.763,Practice
50.0,1.0,2.134,Practice
150.0,1.0,4.061,Practice
150.0,0.0,2.431,Practice
150.0,1.0,1.745,Practice
50.0,1.0,1.809,Practice
50.0,1.0,3.395,Practice
0.0,1.0,1.429,Practice
100.0,0.0,2.526,Practice
0.0,1.0,1.093,Practice
50.0,1.0,2.161,Practice
0.0,1.0,2.018,Practice
100.0,1.0,3.691,Practice
50.0,1.0,1.444,Practice
100.0,1.0,1.984,Practice
50.0,1.0,1.26,Practice
100.0,1.0,1.558,Practice
150.0,1.0,1.876,Practice
100.0,1.0,2.039,Exp
100.0,1.0,2.422,Exp
150.0,1.0,2.711,Exp
0.0,1.0,1.024,Exp
0.0,1.0,1.026,Exp
150.0,1.0,2.347,Exp
50.0,1.0,1.577,Exp
150.0,1.0,2.764,Exp
100.0,1.0,1.581,Exp
100.0,1.0,1.733,Exp
50.0,1.0,1.322,Exp
0.0,1.0,2.232,Exp
0.0,1.0,1.194,Exp
0.0,1.0,1.358,Exp
50.0,1.0,1.196,Exp
0.0,1.0,2.409,Exp
150.0,1.0,2.106,Exp
100.0,1.0,1.493,Exp
150.0,1.0,3.327,Exp
0.0,1.0,1.153,Exp
50.0,1.0,1.361,Exp
0.0,1.0,1.43,Exp
150.0,1.0,2.613,Exp
50.0,1.0,1.54,Exp
150.0,1.0,1.716,Exp
100.0,1.0,1.578,Exp
100.0,1.0,2.446,Exp
150.0,1.0,1.36,Exp
50.0,1.0,1.565,Exp
50.0,1.0,1.326,Exp
100.0,1.0,2.397,Exp
150.0,1.0,1.794,Exp
50.0,1.0,1.347,Exp
0.0,1.0,0.861,Exp
50.0,1.0,1.575,Exp
150.0,1.0,3.558,Exp
100.0,1.0,1.427,Exp
100.0,1.0,1.789,Exp
0.0,1.0,1.86,Exp
100.0,1.0,1.161,Exp
0.0,1.0,0.845,Exp
0.0,1.0,1.077,Exp
0.0,1.0,2.567,Exp
150.0,1.0,2.843,Exp
50.0,1.0,2.109,Exp
0.0,1.0,0.943,Exp
100.0,1.0,1.344,Exp
50.0,1.0,1.456,Exp
100.0,1.0,1.386,Exp
100.0,1.0,1.579,Exp
0.0,1.0,1.21,Exp
50.0,1.0,1.444,Exp
100.0,1.0,1.194,Exp
50.0,1.0,0.896,Exp
50.0,1.0,2.763,Exp
50.0,1.0,0.799,Exp
50.0,1.0,1.177,Exp
150.0,1.0,2.624,Exp
150.0,0.0,1.877,Exp
100.0,1.0,1.277,Exp
150.0,1.0,1.55,Exp
50.0,1.0,1.391,Exp
0.0,1.0,1.426,Exp
0.0,1.0,0.843,Exp
50.0,1.0,1.465,Exp
50.0,1.0,0.978,Exp
150.0,1.0,1.526,Exp
150.0,1.0,2.894,Exp
100.0,1.0,1.156,Exp
150.0,0.0,1.137,Exp
150.0,0.0,2.717,Exp
100.0,1.0,1.48,Exp
0.0,1.0,0.894,Exp
0.0,1.0,1.244,Exp
150.0,0.0,2.71,Exp
100.0,1.0,1.628,Exp
50.0,1.0,2.309,Exp
100.0,1.0,1.461,Exp
50.0,1.0,1.954,Exp
50.0,1.0,1.71,Exp
150.0,0.0,1.558,Exp
150.0,0.0,4.04,Exp
150.0,1.0,1.26,Exp
50.0,1.0,1.112,Exp
0.0,1.0,1.345,Exp
0.0,1.0,1.594,Exp
0.0,1.0,0.821,Exp
0.0,1.0,0.959,Exp
0.0,1.0,0.759,Exp
50.0,1.0,1.176,Exp
100.0,0.0,1.619,Exp
150.0,1.0,2.911,Exp
100.0,1.0,4.293,Exp
100.0,1.0,2.209,Exp
150.0,1.0,1.154,Exp
100.0,1.0,0.984,Exp
