angle,corr,rt,trial_type
0.0,1.0,1.94,Practice
0.0,1.0,1.846,Practice
50.0,0.0,2.65,Practice
100.0,1.0,2.431,Practice
150.0,1.0,3.872,Practice
150.0,1.0,3.717,Practice
100.0,1.0,2.828,Practice
0.0,1.0,1.695,Practice
50.0,1.0,1.854,Practice
150.0,1.0,4.858,Practice
150.0,1.0,6.436,Practice
100.0,1.0,5.08,Practice
0.0,1.0,1.529,Practice
0.0,1.0,1.179,Practice
150.0,1.0,2.446,Practice
0.0,1.0,1.284,Practice
100.0,1.0,3.868,Practice
50.0,1.0,2.216,Practice
50.0,1.0,1.734,Practice
100.0,1.0,2.596,Practice
50.0,1.0,1.819,Practice
150.0,1.0,3.722,Practice
50.0,1.0,2.793,Practice
100.0,1.0,2.554,Practice
100.0,1.0,3.732,Exp
0.0,1.0,1.029,Exp
150.0,1.0,6.035,Exp
50.0,0.0,,Exp
150.0,1.0,3.799,Exp
100.0,1.0,3.181,Exp
150.0,1.0,2.378,Exp
0.0,1.0,1.555,Exp
0.0,1.0,3.813,Exp
50.0,1.0,3.867,Exp
100.0,1.0,3.812,Exp
50.0,1.0,2.878,Exp
50.0,1.0,2.838,Exp
50.0,1.0,3.832,Exp
0.0,1.0,0.972,Exp
50.0,1.0,2.783,Exp
100.0,1.0,3.354,Exp
150.0,1.0,5.013,Exp
0.0,1.0,0.874,Exp
50.0,1.0,1.494,Exp
150.0,0.0,6.212,Exp
150.0,1.0,3.671,Exp
0.0,1.0,0.83,Exp
100.0,1.0,2.965,Exp
100.0,1.0,5.68,Exp
150.0,1.0,4.665,Exp
150.0,1.0,3.428,Exp
150.0,1.0,2.783,Exp
0.0,1.0,2.907,Exp
50.0,1.0,4.986,Exp
100.0,1.0,2.988,Exp
50.0,1.0,2.828,Exp
0.0,1.0,2.212,Exp
0.0,1.0,1.32,Exp
150.0,1.0,3.979,Exp
50.0,1.0,1.919,Exp
0.0,1.0,2.783,Exp
50.0,1.0,1.328,Exp
100.0,1.0,4.01,Exp
100.0,1.0,2.947,Exp
0.0,1.0,0.899,Exp
50.0,1.0,1.106,Exp
100.0,1.0,3.187,Exp
100.0,1.0,4.25,Exp
0.0,1.0,0.716,Exp
0.0,1.0,1.446,Exp
50.0,1.0,1.537,Exp
150.0,0.0,3.181,Exp
100.0,0.0,1.851,Exp
0.0,1.0,3.622,Exp
0.0,1.0,0.982,Exp
150.0,1.0,3.329,Exp
150.0,1.0,5.194,Exp
150.0,1.0,5.629,Exp
100.0,0.0,5.012,Exp
100.0,1.0,2.036,Exp
150.0,1.0,3.112,Exp
100.0,1.0,3.27,Exp
150.0,1.0,5.286,Exp
0.0,1.0,1.263,Exp
0.0,1.0,2.545,Exp
0.0,1.0,2.011,Exp
150.0,1.0,3.579,Exp
50.0,1.0,1.178,Exp
0.0,1.0,0.778,Exp
50.0,1.0,1.286,Exp
0.0,1.0,1.067,Exp
0.0,1.0,1.98,Exp
150.0,0.0,6.618,Exp
100.0,1.0,3.396,Exp
50.0,1.0,1.383,Exp
100.0,1.0,5.307,Exp
50.0,1.0,2.629,Exp
100.0,1.0,3.956,Exp
150.0,1.0,2.088,Exp
50.0,1.0,3.853,Exp
150.0,1.0,3.502,Exp
150.0,1.0,1.973,Exp
100.0,1.0,2.55,Exp
0.0,0.0,2.916,Exp
150.0,1.0,1.764,Exp
100.0,1.0,3.398,Exp
100.0,1.0,2.235,Exp
50.0,1.0,1.834,Exp
150.0,0.0,2.991,Exp
100.0,1.0,2.663,Exp
100.0,1.0,2.273,Exp
50.0,1.0,1.529,Exp
100.0,1.0,1.633,Exp
0.0,1.0,1.13,Exp
50.0,1.0,2.212,Exp
50.0,1.0,3.229,Exp
50.0,0.0,3.73,Exp
0.0,1.0,1.099,Exp
150.0,1.0,2.357,Exp
50.0,1.0,1.295,Exp
