rt,corr,trial_type
0.6681586999911815,1.0,congruent
0.4904305999953067,1.0,incongruent
0.7261780999979237,1.0,incongruent
0.7234565999970073,1.0,incongruent
0.4919013000035193,1.0,congruent
0.7934480999974767,1.0,incongruent
0.5549191999889445,1.0,congruent
0.7210163999989163,1.0,congruent
0.9614786000020104,1.0,congruent
0.5044499000068754,1.0,congruent
1.193259499996202,1.0,congruent
0.5608502999966731,1.0,congruent
0.6105297999893082,1.0,congruent
0.4311054999998305,1.0,incongruent
0.786454799992498,1.0,incongruent
0.4775682000035885,0.0,congruent
0.5214188999962062,1.0,incongruent
0.4649195999954827,1.0,incongruent
0.6775143999984721,1.0,incongruent
0.6482627999939723,1.0,incongruent
0.6301607000059448,1.0,congruent
1.0623154000059003,1.0,congruent
1.0483182000025408,1.0,incongruent
0.8476045999996131,1.0,incongruent
0.7566949999891222,1.0,incongruent
0.4734144000103697,1.0,incongruent
0.9294196999981068,1.0,incongruent
0.7752454000001308,1.0,congruent
0.5536520000023302,1.0,congruent
0.9629051000083564,1.0,congruent
0.6545943999954034,1.0,incongruent
0.6008195000031264,1.0,congruent
0.9681205000088084,1.0,congruent
0.7785177000041585,1.0,congruent
0.7340174999990268,1.0,congruent
0.4978814000060083,1.0,incongruent
1.058280899989768,1.0,congruent
0.5375272999954177,1.0,incongruent
0.5902971000032267,1.0,congruent
0.6159434000001056,1.0,incongruent
0.630240500002401,1.0,incongruent
0.6504406000021845,1.0,incongruent
0.4928144000004977,1.0,congruent
1.260274300002493,1.0,congruent
0.4966301999957068,1.0,incongruent
0.5191535000049043,1.0,incongruent
0.5860166000056779,1.0,incongruent
0.458472400001483,1.0,congruent
1.1009817000012845,1.0,incongruent
0.7987086000066483,1.0,congruent
1.1820567000104347,1.0,incongruent
0.5985981999983778,1.0,congruent
1.5216328000096837,1.0,incongruent
0.4602053999988129,1.0,incongruent
0.7922288999980083,1.0,congruent
1.046418799989624,1.0,incongruent
0.5103734000003897,1.0,incongruent
0.522300600001472,1.0,congruent
0.3858028999966336,1.0,congruent
0.5235934999946039,1.0,congruent
0.5900617000006605,1.0,congruent
0.4965381999936653,1.0,incongruent
0.7084239999967394,1.0,incongruent
0.4776372999913292,1.0,congruent
0.9236036999936914,1.0,congruent
0.3908565000019735,1.0,incongruent
0.5487203000084264,1.0,congruent
0.6259710999875097,1.0,congruent
0.5986165999929653,1.0,incongruent
0.5465038999973331,1.0,incongruent
0.5379993000096874,1.0,congruent
0.456998299996485,1.0,incongruent
0.9062559000012698,1.0,incongruent
0.4175745000102324,1.0,incongruent
1.9557369999965888,1.0,incongruent
1.836866599987843,1.0,congruent
0.5575362999952631,1.0,incongruent
1.0810458000050858,1.0,incongruent
0.5114114000025438,1.0,incongruent
0.5541614000103436,1.0,incongruent
0.4784873000025982,1.0,congruent
0.541747099996428,1.0,incongruent
0.5574130000022706,1.0,congruent
0.4951052999967942,1.0,congruent
0.5109233999974094,1.0,congruent
0.5071272000059253,1.0,congruent
0.7503812000068137,1.0,congruent
0.5530264999979408,1.0,incongruent
0.4433317000075476,0.0,congruent
1.3290886000031603,1.0,congruent
0.8190392999968026,1.0,incongruent
1.2944926999916788,1.0,incongruent
0.4698925999982748,1.0,congruent
0.4177811999979894,1.0,incongruent
0.5122629999968922,1.0,congruent
0.7061589999939315,1.0,congruent
0.5265908000001218,1.0,congruent
0.4145743999979459,1.0,incongruent
0.4427549999963958,1.0,congruent
0.5497008999955142,1.0,congruent
0.4383304999937536,1.0,congruent
0.5675542999961181,1.0,congruent
0.5751238999946509,1.0,congruent
0.8018021999887424,1.0,congruent
0.5335867999965558,1.0,incongruent
1.2297775000042748,1.0,congruent
0.4165549000026658,1.0,congruent
1.103570100007346,1.0,incongruent
0.535601299998234,1.0,incongruent
0.777807100006612,1.0,incongruent
0.4391800999874249,0.0,incongruent
0.9612804999924264,1.0,incongruent
0.8434194000001298,1.0,incongruent
1.1897295000089798,1.0,incongruent
0.498986499995226,1.0,incongruent
0.5536884000030113,1.0,incongruent
0.5971125999931246,1.0,congruent
0.4402405000000726,1.0,incongruent
0.424836399994092,1.0,congruent
0.8296180000033928,1.0,congruent
