sub_id,MnRT,group,type
001,0.7737850000000001,Naodao,Congruent
001,0.9318383333333333,Naodao,Incongruent
002,0.75828,Naodao,Congruent
002,0.8571866666666667,Naodao,Incongruent
003,0.88851,Naodao,Congruent
003,1.0341733333333334,Naodao,Incongruent
004,0.6704166666666667,Naodao,Congruent
004,0.7353833333333333,Naodao,Incongruent
005,0.7134183333333334,Naodao,Congruent
005,0.9953266666666667,Naodao,Incongruent
006,0.6674450000000001,Naodao,Congruent
006,0.90936,Naodao,Incongruent
007,0.716535,Naodao,Congruent
007,1.1004616666666667,Naodao,Incongruent
008,0.624946,Naodao,Congruent
008,0.7646335833333333,Naodao,Incongruent
009,0.5570183333333334,Naodao,Congruent
009,0.824215,Naodao,Incongruent
010,0.5905733333333333,Naodao,Congruent
010,0.9183133333333333,Naodao,Incongruent
011,0.681015,Naodao,Congruent
011,0.7966233333333333,Naodao,Incongruent
012,0.668075,Naodao,Congruent
012,0.8773133333333334,Naodao,Incongruent
013,0.5824866666666666,Naodao,Congruent
013,0.746375,Naodao,Incongruent
014,0.6176966666666667,Naodao,Congruent
014,0.8744683333333333,Naodao,Incongruent
015,0.741415,Naodao,Congruent
015,0.9153166666666667,Naodao,Incongruent
016,0.4851516666666667,Naodao,Congruent
016,0.737525,Naodao,Incongruent
017,0.6288633333333333,Naodao,Congruent
017,0.7745233333333333,Naodao,Incongruent
018,0.7205833333333334,Naodao,Congruent
018,0.7506166666666666,Naodao,Incongruent
019,0.6993733333333334,Naodao,Congruent
019,1.0000816666666668,Naodao,Incongruent
020,0.5271,Naodao,Congruent
020,0.7352566666666667,Naodao,Incongruent
021,0.6408,Naodao,Congruent
021,0.8358166666666667,Naodao,Incongruent
022,0.504045,Naodao,Congruent
022,0.9627533333333333,Naodao,Incongruent
023,0.7642716666666666,Naodao,Congruent
023,0.8412883333333333,Naodao,Incongruent
024,0.8014500000000001,Naodao,Congruent
024,0.9012816666666666,Naodao,Incongruent
025,0.72955,Naodao,Congruent
025,1.119115,Naodao,Incongruent
026,0.6921416666666667,Naodao,Congruent
026,0.8307699999999999,Naodao,Incongruent
027,1.2088616666666667,Naodao,Congruent
027,0.7712916666666667,Naodao,Incongruent
028,0.6102666666666666,Naodao,Congruent
