sub_id,angle,ER,MnRT,group
001,0,0.04166666666666663,1.4289999999999998,Naodao
001,50,0.0,1.672859090909091,Naodao
001,100,0.0,2.0815681818181817,Naodao
001,150,0.08333333333333337,2.20531,Naodao
002,0,0.0,1.7332958333333333,Naodao
002,50,0.125,1.8811000000000002,Naodao
002,100,0.125,2.500375,Naodao
002,150,0.16666666666666663,2.401335294117647,Naodao
003,0,0.08333333333333337,1.41595,Naodao
003,50,0.0,1.7260739130434783,Naodao
003,100,0.125,2.160242105263158,Naodao
003,150,0.08333333333333337,2.446115789473684,Naodao
004,0,0.0,1.1424458333333334,Naodao
004,50,0.04166666666666663,1.6290272727272728,Naodao
004,100,0.08333333333333337,1.6870428571428573,Naodao
004,150,0.29166666666666663,2.10982,Naodao
005,0,0.04166666666666663,1.3546,Naodao
005,50,0.0,1.5761695652173913,Naodao
005,100,0.125,2.3333,Naodao
005,150,0.125,2.0736222222222223,Naodao
006,0,0.04166666666666663,1.6879391304347826,Naodao
006,50,0.04166666666666663,2.0338956521739133,Naodao
006,100,0.08333333333333337,2.8376,Naodao
006,150,0.25,3.5395666666666665,Naodao
007,0,0.125,1.6427238095238095,Naodao
007,50,0.16666666666666663,2.8872050000000002,Naodao
007,100,0.20833333333333337,3.511931578947368,Naodao
007,150,0.25,3.384225,Naodao
008,0,0.04166666666666663,1.7638800000000001,Naodao
008,50,0.125,2.3142563157894736,Naodao
008,100,0.16666666666666663,2.8266025,Naodao
008,150,0.20833333333333337,3.5887567647058822,Naodao
009,0,0.0,0.8623139583333334,Naodao
009,50,0.08333333333333337,1.2790013636363637,Naodao
009,100,0.0,1.422905238095238,Naodao
009,150,0.04166666666666663,1.90853475,Naodao
010,0,0.0,1.4953500000000002,Naodao
010,50,0.08333333333333337,1.8829818181818183,Naodao
010,100,0.04166666666666663,2.5078681818181816,Naodao
010,150,0.29166666666666663,2.8508625,Naodao
011,0,0.04166666666666663,1.8437565217391303,Naodao
011,50,0.0,1.9823045454545456,Naodao
011,100,0.04166666666666663,2.7235545454545456,Naodao
011,150,0.04166666666666663,2.9135636363636364,Naodao
012,0,0.0,2.2289314749844684,Naodao
012,50,0.08333333333333337,3.0505215090868827,Naodao
012,100,0.08333333333333337,3.4687959499953482,Naodao
012,150,0.0,3.405739417375551,Naodao
