angle,corr,rt,trial_type
0.0,1.0,2.746555699995952,Practice
150.0,1.0,3.706725299998652,Practice
0.0,1.0,1.5330433000053745,Practice
0.0,1.0,1.1126891000021717,Practice
100.0,1.0,2.546678200000315,Practice
100.0,1.0,1.6751542999991216,Practice
150.0,1.0,4.871299999998882,Practice
50.0,1.0,1.6269030999974348,Practice
0.0,1.0,1.1558937000081642,Practice
100.0,1.0,1.2931034000066577,Practice
0.0,1.0,2.0126057000015862,Practice
50.0,1.0,2.410459799997625,Practice
150.0,1.0,1.8026338999916331,Practice
100.0,1.0,2.6068457000073977,Practice
50.0,1.0,1.924197800006368,Practice
100.0,1.0,2.22066900000209,Practice
150.0,1.0,2.623930999994627,Practice
50.0,1.0,1.8130967000033704,Practice
150.0,1.0,2.3927488999906927,Practice
50.0,1.0,1.5355444000015268,Practice
100.0,1.0,2.2105053000123007,Practice
150.0,1.0,2.19859169999836,Practice
0.0,1.0,1.2067831000022124,Practice
50.0,1.0,1.45373059999838,Practice
50.0,1.0,2.884843599997112,Exp
0.0,1.0,1.2879782999953022,Exp
0.0,1.0,1.2532962999976007,Exp
150.0,1.0,3.212012600008165,Exp
100.0,1.0,2.342040599993197,Exp
150.0,1.0,2.4820369000080973,Exp
0.0,1.0,2.8081262999912724,Exp
0.0,1.0,1.38788840000052,Exp
0.0,1.0,2.2509088999941014,Exp
0.0,1.0,0.9521613999968396,Exp
50.0,1.0,2.5695378000091296,Exp
150.0,1.0,2.896144099999219,Exp
100.0,1.0,3.220832299994072,Exp
150.0,1.0,3.608203399999184,Exp
0.0,1.0,1.5337149999977555,Exp
0.0,1.0,1.401853300005314,Exp
100.0,1.0,1.928124600002775,Exp
100.0,1.0,2.3780987999925856,Exp
100.0,1.0,2.0231561999971746,Exp
50.0,1.0,1.7015875000070082,Exp
150.0,1.0,3.4572965999977896,Exp
100.0,1.0,2.179221200000029,Exp
150.0,1.0,2.8145469000010053,Exp
50.0,1.0,1.2841010999982243,Exp
0.0,1.0,4.578883999987738,Exp
150.0,0.0,,Exp
0.0,1.0,5.168864799998119,Exp
100.0,1.0,2.082826300000306,Exp
50.0,1.0,3.261476599989692,Exp
100.0,1.0,2.744819400002598,Exp
0.0,1.0,3.494511400000192,Exp
0.0,1.0,2.007590200009872,Exp
100.0,1.0,2.2866004000097746,Exp
0.0,1.0,1.025130399997579,Exp
50.0,1.0,3.347471599990968,Exp
100.0,1.0,2.095657600002596,Exp
50.0,1.0,1.7721335000096587,Exp
100.0,1.0,1.9671934999933,Exp
100.0,1.0,6.997114799989504,Exp
150.0,1.0,2.5470401999918977,Exp
150.0,1.0,2.6959428999980446,Exp
100.0,1.0,1.863880099990638,Exp
100.0,1.0,2.155147700002999,Exp
50.0,1.0,1.6351414999953704,Exp
0.0,1.0,1.3071324000047753,Exp
150.0,1.0,4.732893399996101,Exp
0.0,1.0,1.5316095000016503,Exp
150.0,1.0,3.0696533000009367,Exp
150.0,1.0,4.933490199997323,Exp
150.0,1.0,3.7964269000076456,Exp
50.0,1.0,1.4480810999957612,Exp
50.0,1.0,1.165153799986001,Exp
50.0,1.0,3.5794081000058213,Exp
150.0,1.0,3.141037499997765,Exp
0.0,1.0,4.008030500001041,Exp
150.0,1.0,2.775137900011032,Exp
150.0,1.0,3.3677622999966843,Exp
100.0,1.0,3.1459100999927614,Exp
50.0,1.0,2.075985799994669,Exp
100.0,1.0,1.9230660000030184,Exp
100.0,1.0,2.1388206999981776,Exp
0.0,1.0,3.6599301999958698,Exp
0.0,1.0,0.9688683999993372,Exp
100.0,1.0,1.973378800001228,Exp
50.0,1.0,1.6474881999893114,Exp
50.0,1.0,1.099244400000316,Exp
0.0,1.0,0.9600532000040404,Exp
0.0,1.0,0.9092869000014616,Exp
150.0,1.0,3.3835626999934902,Exp
100.0,1.0,2.578955399992992,Exp
150.0,1.0,2.790244200004963,Exp
100.0,1.0,2.053513999999268,Exp
0.0,1.0,1.0531035000021802,Exp
150.0,1.0,3.9330718999990495,Exp
50.0,1.0,1.5469700999965426,Exp
150.0,1.0,2.000752599997213,Exp
150.0,1.0,3.2204517999925883,Exp
50.0,1.0,3.272873699999764,Exp
150.0,1.0,2.288294500001939,Exp
50.0,1.0,1.5205590999976266,Exp
0.0,1.0,2.691116599991801,Exp
50.0,1.0,1.814169599994784,Exp
50.0,1.0,2.4967441000044346,Exp
100.0,1.0,2.560729899996659,Exp
50.0,1.0,1.2157158999907551,Exp
150.0,1.0,2.4530440000089584,Exp
50.0,1.0,1.7284366999956546,Exp
50.0,1.0,1.9131654000084384,Exp
50.0,1.0,1.1782245999929728,Exp
100.0,1.0,3.150206600010278,Exp
0.0,1.0,1.166275299998233,Exp
150.0,1.0,4.247665599992615,Exp
100.0,1.0,2.135855400003493,Exp
0.0,1.0,1.1426681999873836,Exp
50.0,1.0,1.4089029000024311,Exp
100.0,1.0,2.5975838000013027,Exp
