angle,corr,rt,trial_type
0.0,1.0,2.9469535,Practice
50.0,1.0,6.556616,Practice
100.0,1.0,2.2900094,Practice
100.0,1.0,2.1261979,Practice
150.0,1.0,3.0735317,Practice
100.0,1.0,3.1962427,Practice
100.0,1.0,3.3009278,Practice
150.0,0.0,,Practice
50.0,1.0,5.2645705,Practice
150.0,1.0,2.7590531,Practice
150.0,1.0,2.1497042,Practice
0.0,1.0,1.4970737,Practice
0.0,1.0,1.8718779,Practice
0.0,1.0,1.6666477,Practice
150.0,1.0,1.6560907,Practice
100.0,1.0,1.7906699,Practice
50.0,1.0,2.8083996,Practice
0.0,1.0,1.7748478,Practice
50.0,1.0,2.7343925,Practice
0.0,1.0,1.497732,Practice
50.0,1.0,1.5063506,Practice
100.0,1.0,2.3935802,Practice
50.0,1.0,2.0096904,Practice
150.0,1.0,3.2606075,Practice
0.0,1.0,1.2089615,Exp
150.0,1.0,3.5138541,Exp
100.0,0.0,,Exp
150.0,1.0,5.1025534,Exp
150.0,1.0,3.685374,Exp
100.0,1.0,5.2010757,Exp
50.0,1.0,2.5909866,Exp
150.0,1.0,3.2024778,Exp
100.0,1.0,5.1957219,Exp
150.0,1.0,4.1747989,Exp
50.0,1.0,3.7287966,Exp
150.0,0.0,,Exp
150.0,1.0,4.5522287,Exp
100.0,1.0,2.4600207,Exp
100.0,1.0,7.1662373,Exp
100.0,0.0,,Exp
150.0,1.0,4.8953554,Exp
0.0,1.0,3.5441338,Exp
0.0,1.0,1.0484392,Exp
150.0,1.0,2.6651171,Exp
150.0,0.0,,Exp
150.0,0.0,4.0500508,Exp
50.0,1.0,3.4335778,Exp
0.0,1.0,1.1090617,Exp
0.0,1.0,2.6613568,Exp
100.0,1.0,3.050482,Exp
50.0,1.0,3.6845375,Exp
50.0,1.0,1.4652164,Exp
100.0,1.0,1.8218784,Exp
0.0,1.0,2.2065728,Exp
150.0,1.0,3.1439416,Exp
0.0,0.0,,Exp
150.0,1.0,3.0505451,Exp
50.0,1.0,5.7396237,Exp
100.0,1.0,2.6378596,Exp
0.0,1.0,0.9013419,Exp
150.0,1.0,1.9515552,Exp
50.0,1.0,5.709103,Exp
100.0,1.0,2.9414937,Exp
0.0,0.0,,Exp
0.0,1.0,1.1324244,Exp
50.0,1.0,1.5276378,Exp
0.0,1.0,4.0419636,Exp
100.0,1.0,3.3140692,Exp
50.0,0.0,,Exp
50.0,1.0,1.9532956,Exp
150.0,1.0,5.2203907,Exp
100.0,1.0,4.2343043,Exp
0.0,1.0,1.0495562,Exp
0.0,1.0,0.8244965,Exp
100.0,1.0,1.9749741,Exp
0.0,1.0,1.3177054,Exp
0.0,1.0,0.8175386,Exp
150.0,1.0,2.4185382,Exp
100.0,1.0,2.1941952,Exp
0.0,1.0,2.6188009,Exp
0.0,1.0,1.1298322,Exp
50.0,1.0,2.0571024,Exp
100.0,0.0,,Exp
50.0,1.0,1.2361364,Exp
0.0,1.0,2.1728844,Exp
50.0,1.0,1.4741053,Exp
150.0,1.0,3.5386528,Exp
0.0,1.0,1.1683452,Exp
0.0,1.0,0.9177508,Exp
100.0,1.0,1.2235633,Exp
50.0,1.0,5.0926395,Exp
50.0,1.0,0.8769499,Exp
150.0,1.0,4.6678681,Exp
150.0,0.0,3.208407,Exp
50.0,1.0,1.7508434,Exp
50.0,1.0,3.3101395,Exp
50.0,1.0,1.2705616,Exp
150.0,0.0,3.617132,Exp
50.0,1.0,2.9189914,Exp
0.0,1.0,1.1839207,Exp
50.0,1.0,1.881625,Exp
0.0,1.0,0.9272826,Exp
50.0,1.0,4.7994417,Exp
100.0,1.0,1.523258,Exp
150.0,0.0,2.2515073,Exp
100.0,0.0,,Exp
100.0,1.0,2.5625793,Exp
150.0,0.0,3.0817181,Exp
100.0,1.0,3.8099039,Exp
100.0,1.0,3.7034997,Exp
50.0,1.0,2.3318272,Exp
150.0,1.0,3.9750363,Exp
0.0,1.0,0.9085,Exp
100.0,0.0,4.7333672,Exp
100.0,1.0,4.5998423,Exp
0.0,1.0,0.9576033,Exp
100.0,0.0,,Exp
50.0,1.0,2.2660498,Exp
150.0,1.0,4.5923237,Exp
50.0,1.0,1.9801247,Exp
