rt,corr,trial_type
0.5765,1.0,incongruent
0.94,0.0,incongruent
1.6733,0.0,congruent
0.9681,1.0,incongruent
0.3744,1.0,congruent
0.5961,1.0,congruent
1.0053,1.0,incongruent
0.6868,1.0,incongruent
0.6784,0.0,congruent
1.0835,1.0,congruent
0.5884,1.0,incongruent
0.5047,1.0,congruent
0.418,1.0,incongruent
1.4347,1.0,incongruent
0.8002,1.0,congruent
0.6354,1.0,congruent
1.0704,1.0,incongruent
0.6743,1.0,congruent
0.5997,0.0,congruent
0.8698,1.0,congruent
0.8614,1.0,incongruent
0.3907,1.0,incongruent
0.5511,1.0,incongruent
0.6122,1.0,congruent
0.8017,1.0,congruent
1.4843,1.0,congruent
0.4183,1.0,congruent
0.5774,1.0,incongruent
0.7438,1.0,congruent
0.6229,1.0,congruent
0.6886,1.0,incongruent
0.4542,0.0,congruent
0.7895,1.0,congruent
0.503,1.0,congruent
0.669,0.0,incongruent
2.1916,1.0,congruent
1.3452,1.0,congruent
0.352,1.0,incongruent
0.4969,1.0,incongruent
0.6441,1.0,incongruent
0.6426,1.0,incongruent
1.5901,0.0,incongruent
1.9348,1.0,incongruent
0.7141,1.0,incongruent
0.6046,1.0,incongruent
0.3673,1.0,incongruent
1.0154,1.0,congruent
0.7279,0.0,congruent
1.0698,1.0,incongruent
0.6451,0.0,congruent
1.4253,1.0,congruent
0.4729,1.0,congruent
0.4841,1.0,congruent
0.7841,1.0,incongruent
0.6274,1.0,congruent
0.435,1.0,congruent
0.8557,1.0,congruent
1.96,1.0,congruent
0.3807,1.0,incongruent
0.5203,1.0,incongruent
0.3682,1.0,congruent
0.7946,1.0,incongruent
1.0195,0.0,congruent
1.6993,1.0,incongruent
0.8294,1.0,congruent
4.8401,0.0,incongruent
1.8882,1.0,incongruent
0.9643,1.0,incongruent
0.976,1.0,incongruent
1.0536,1.0,incongruent
0.5399,1.0,congruent
1.9412,0.0,incongruent
0.5651,1.0,congruent
0.6796,1.0,congruent
0.8014,0.0,congruent
1.377,1.0,congruent
0.5573,1.0,incongruent
0.7552,1.0,congruent
0.3672,1.0,incongruent
0.7384,1.0,congruent
0.9671,1.0,incongruent
1.1186,1.0,incongruent
0.8171,1.0,incongruent
0.9117,1.0,congruent
1.4081,0.0,incongruent
2.044,1.0,incongruent
0.8026,1.0,incongruent
0.5953,1.0,incongruent
1.9806,1.0,incongruent
2.1849,1.0,incongruent
0.6512,1.0,congruent
2.2366,1.0,incongruent
0.7874,1.0,congruent
0.8094,1.0,congruent
0.7804,1.0,congruent
1.1305,1.0,congruent
0.6765,1.0,incongruent
1.2541,1.0,incongruent
0.4101,1.0,congruent
1.2514,0.0,congruent
1.2145,1.0,incongruent
0.7082,1.0,congruent
0.6665,1.0,congruent
0.5075,1.0,incongruent
1.4522,0.0,congruent
1.8251,1.0,congruent
2.1548,1.0,incongruent
0.7528,1.0,congruent
0.6828,1.0,incongruent
0.4797,1.0,congruent
1.0136,1.0,incongruent
0.6455,0.0,congruent
0.9246,1.0,incongruent
0.826,1.0,incongruent
1.3561,1.0,congruent
0.604,1.0,incongruent
0.8224,1.0,congruent
0.5544,1.0,incongruent
0.9345,1.0,incongruent
0.444,1.0,congruent
