rt,corr,trial_type
0.7368,1.0,incongruent
0.8747,1.0,incongruent
0.6612,1.0,incongruent
0.5276,1.0,congruent
0.5574,1.0,congruent
0.4524,1.0,congruent
0.6022,1.0,congruent
0.438,1.0,congruent
1.0736,1.0,incongruent
0.7841,1.0,incongruent
0.6563,1.0,congruent
0.8045,1.0,incongruent
0.5257,1.0,incongruent
0.4896,1.0,incongruent
0.5084,1.0,incongruent
0.4833,1.0,congruent
0.6677,1.0,incongruent
0.4694,1.0,congruent
0.5353,1.0,congruent
0.4848,1.0,congruent
0.4919,1.0,congruent
0.6686,1.0,incongruent
0.6567,1.0,incongruent
0.6759,1.0,congruent
0.4517,1.0,incongruent
1.1062,1.0,incongruent
0.6052,1.0,congruent
0.5683,1.0,incongruent
0.4858,1.0,incongruent
0.6352,1.0,congruent
0.6048,1.0,incongruent
0.6722,1.0,congruent
0.5581,1.0,incongruent
0.5357,1.0,congruent
0.5538,1.0,incongruent
0.5686,1.0,congruent
1.7288,1.0,incongruent
0.6502,1.0,incongruent
0.5007,1.0,congruent
0.6011,1.0,incongruent
0.5482,1.0,congruent
0.5046,1.0,congruent
0.6278,1.0,incongruent
0.57,1.0,congruent
0.6112,1.0,congruent
0.5116,1.0,congruent
0.4726,1.0,congruent
1.0164,0.0,incongruent
1.0154,1.0,congruent
0.6643,1.0,incongruent
0.4336,1.0,congruent
0.5688,1.0,congruent
0.5097,1.0,incongruent
0.4251,1.0,incongruent
0.6749,1.0,congruent
0.4548,1.0,congruent
1.1692,1.0,incongruent
1.0734,1.0,incongruent
0.6396,1.0,incongruent
0.5701,1.0,incongruent
0.602,1.0,congruent
0.59,1.0,congruent
0.5686,1.0,incongruent
0.6413,1.0,congruent
0.7177,1.0,incongruent
0.5857,1.0,congruent
0.6055,1.0,congruent
0.9023,1.0,incongruent
0.4748,1.0,congruent
0.5094,1.0,congruent
1.1548,1.0,incongruent
1.2097,1.0,incongruent
0.8755,1.0,incongruent
0.8198,1.0,incongruent
1.5102,1.0,congruent
0.6189,1.0,incongruent
0.6187,1.0,congruent
0.555,1.0,congruent
1.0428,1.0,incongruent
0.6349,1.0,incongruent
0.6087,1.0,incongruent
0.4859,1.0,congruent
0.5879,1.0,incongruent
0.6094,1.0,congruent
0.6829,1.0,incongruent
0.4934,1.0,incongruent
0.5351,1.0,congruent
1.0055,1.0,congruent
0.4936,1.0,congruent
0.5726,1.0,congruent
0.4279,1.0,incongruent
0.6361,1.0,congruent
0.5434,1.0,incongruent
0.5014,1.0,congruent
0.4222,1.0,incongruent
0.5747,1.0,congruent
0.6684,1.0,incongruent
0.622,1.0,incongruent
0.6943,1.0,incongruent
0.6678,1.0,incongruent
0.437,1.0,congruent
0.5405,1.0,congruent
0.4731,1.0,congruent
0.7016,1.0,incongruent
0.4849,1.0,incongruent
0.6684,1.0,incongruent
0.535,1.0,incongruent
0.8346,1.0,incongruent
0.6429,1.0,incongruent
0.6518,1.0,congruent
1.6515,1.0,incongruent
0.4849,1.0,congruent
0.551,1.0,congruent
0.5871,1.0,congruent
0.4891,1.0,congruent
0.4849,1.0,congruent
0.5754,1.0,congruent
0.5834,1.0,incongruent
0.4417,1.0,congruent
0.5055,1.0,congruent
