rt,corr,trial_type
0.792,1.0,congruent
0.5587,1.0,congruent
0.6497,1.0,incongruent
0.6452,1.0,congruent
0.6487,1.0,congruent
0.6766,1.0,congruent
0.6907,1.0,incongruent
0.6911,1.0,incongruent
0.5233,1.0,congruent
1.2006,1.0,incongruent
0.8155,1.0,incongruent
0.6376,1.0,incongruent
0.7829,1.0,incongruent
1.0084,1.0,incongruent
0.9019,1.0,congruent
0.7545,1.0,incongruent
0.5927,1.0,congruent
0.4518,1.0,congruent
0.607,1.0,congruent
0.6748,1.0,congruent
0.5152,1.0,congruent
1.0243,1.0,incongruent
0.5838,1.0,incongruent
0.7327,1.0,incongruent
0.6952,1.0,incongruent
0.7843,1.0,incongruent
0.44,1.0,congruent
0.8527,1.0,incongruent
0.6649,1.0,incongruent
0.7137,1.0,incongruent
0.7339,1.0,incongruent
1.0906,1.0,congruent
0.6504,1.0,incongruent
0.5743,1.0,congruent
0.4348,1.0,congruent
0.8422,1.0,incongruent
0.9007,1.0,congruent
0.6593,1.0,incongruent
0.5595,1.0,congruent
1.107,1.0,congruent
0.7239,0.0,incongruent
0.7519,1.0,incongruent
0.7387,1.0,congruent
0.476,1.0,congruent
0.7535,1.0,congruent
1.0448,1.0,congruent
0.6622,1.0,congruent
0.7067,1.0,incongruent
1.0445,1.0,congruent
0.6493,1.0,congruent
0.4168,1.0,incongruent
0.607,1.0,incongruent
0.6321,1.0,incongruent
0.5676,0.0,incongruent
0.6875,1.0,congruent
0.785,1.0,incongruent
0.4959,1.0,congruent
0.5901,1.0,congruent
0.5086,1.0,incongruent
0.6215,1.0,incongruent
0.5958,1.0,incongruent
0.5126,0.0,congruent
0.5155,1.0,incongruent
0.4805,1.0,incongruent
0.7865,1.0,congruent
0.6763,1.0,congruent
0.6186,1.0,congruent
1.1093,1.0,congruent
0.729,1.0,incongruent
0.4989,1.0,congruent
0.6098,1.0,incongruent
0.5599,1.0,congruent
0.6658,1.0,congruent
1.5255,1.0,congruent
0.5954,1.0,congruent
0.4463,1.0,incongruent
0.5704,1.0,incongruent
0.7856,1.0,congruent
1.1488,1.0,incongruent
0.4066,1.0,congruent
0.8839,1.0,incongruent
0.7825,1.0,congruent
0.641,1.0,incongruent
0.5567,1.0,congruent
0.5893,1.0,incongruent
1.0999,1.0,congruent
0.7499,1.0,incongruent
0.9543,1.0,congruent
1.0319,1.0,incongruent
0.7695,1.0,incongruent
0.7589,1.0,incongruent
1.0406,1.0,incongruent
0.499,1.0,congruent
0.5493,1.0,congruent
0.4594,1.0,congruent
0.8837,1.0,incongruent
0.5044,1.0,incongruent
0.6038,1.0,incongruent
0.6459,1.0,incongruent
0.7594,1.0,congruent
0.6578,0.0,incongruent
0.7495,1.0,incongruent
1.2992,0.0,congruent
0.9193,1.0,congruent
0.6835,1.0,congruent
0.8667,0.0,incongruent
0.752,1.0,congruent
0.7817,1.0,incongruent
0.7951,1.0,incongruent
0.6294,1.0,congruent
0.7087,1.0,incongruent
1.286,1.0,congruent
1.2987,1.0,incongruent
0.7809,1.0,congruent
0.474,1.0,congruent
0.3813,1.0,congruent
0.7042,1.0,incongruent
0.6011,1.0,incongruent
0.5083,1.0,congruent
0.4023,1.0,congruent
