angle,corr,rt,trial_type
50.0,1.0,2.604,Practice
100.0,1.0,2.1449,Practice
100.0,1.0,2.3966,Practice
0.0,1.0,1.4941,Practice
150.0,1.0,2.6793,Practice
50.0,1.0,2.0407,Practice
150.0,1.0,2.9635,Practice
100.0,1.0,2.6014,Practice
100.0,1.0,2.5559,Practice
50.0,1.0,1.5697,Practice
150.0,1.0,2.2232,Practice
150.0,1.0,3.1173,Practice
0.0,1.0,1.879,Practice
50.0,1.0,1.6225,Practice
0.0,1.0,2.5116,Practice
0.0,1.0,1.5587,Practice
150.0,1.0,2.3518,Practice
0.0,1.0,2.137,Practice
150.0,1.0,3.9398,Practice
0.0,1.0,4.0088,Practice
50.0,1.0,4.2846,Practice
100.0,1.0,2.2934,Practice
50.0,1.0,7.3239,Practice
100.0,1.0,1.8804,Practice
0.0,1.0,1.435,Exp
50.0,1.0,2.3773,Exp
100.0,1.0,2.1361,Exp
0.0,1.0,1.3153,Exp
100.0,1.0,4.2928,Exp
50.0,1.0,1.4677,Exp
0.0,1.0,1.0025,Exp
150.0,1.0,2.8018,Exp
100.0,1.0,2.4403,Exp
150.0,1.0,4.0771,Exp
150.0,1.0,4.524,Exp
100.0,1.0,4.3361,Exp
0.0,1.0,1.4245,Exp
50.0,1.0,1.1887,Exp
0.0,1.0,1.6188,Exp
0.0,1.0,3.5407,Exp
150.0,1.0,3.2368,Exp
0.0,1.0,1.0497,Exp
100.0,1.0,1.585,Exp
0.0,1.0,4.2736,Exp
50.0,1.0,1.5027,Exp
0.0,1.0,1.0733,Exp
100.0,1.0,1.6411,Exp
150.0,1.0,2.9588,Exp
100.0,1.0,1.9936,Exp
100.0,1.0,1.401,Exp
100.0,1.0,2.8712,Exp
50.0,1.0,1.7445,Exp
100.0,1.0,3.9173,Exp
50.0,1.0,1.3375,Exp
150.0,1.0,2.018,Exp
150.0,1.0,2.0699,Exp
50.0,1.0,1.9996,Exp
0.0,1.0,1.1166,Exp
150.0,1.0,1.4221,Exp
150.0,1.0,2.4105,Exp
50.0,1.0,6.0967,Exp
150.0,1.0,3.0065,Exp
50.0,1.0,1.4633,Exp
150.0,1.0,3.4749,Exp
0.0,1.0,1.1336,Exp
0.0,1.0,4.0859,Exp
50.0,1.0,1.2682,Exp
150.0,1.0,3.9902,Exp
0.0,1.0,1.8027,Exp
50.0,1.0,1.5942,Exp
100.0,1.0,3.1053,Exp
100.0,1.0,4.9944,Exp
0.0,1.0,1.0092,Exp
100.0,0.0,,Exp
150.0,1.0,2.0185,Exp
50.0,1.0,3.8187,Exp
50.0,1.0,3.1393,Exp
0.0,1.0,1.6047,Exp
0.0,1.0,1.0837,Exp
50.0,1.0,3.3893,Exp
100.0,1.0,4.5019,Exp
150.0,1.0,2.5324,Exp
0.0,1.0,3.1205,Exp
100.0,1.0,3.0686,Exp
150.0,1.0,1.6556,Exp
100.0,1.0,3.2526,Exp
0.0,0.0,1.2992,Exp
50.0,1.0,2.5357,Exp
0.0,1.0,0.9017,Exp
150.0,1.0,2.1876,Exp
150.0,1.0,3.129,Exp
150.0,0.0,2.4013,Exp
100.0,1.0,3.2377,Exp
50.0,1.0,1.3602,Exp
100.0,1.0,4.5938,Exp
0.0,1.0,1.8531,Exp
150.0,1.0,4.4352,Exp
150.0,1.0,2.9508,Exp
50.0,1.0,1.6019,Exp
150.0,1.0,2.5034,Exp
0.0,1.0,1.071,Exp
100.0,1.0,2.7186,Exp
100.0,1.0,1.8012,Exp
150.0,1.0,4.019,Exp
100.0,1.0,1.8412,Exp
50.0,1.0,1.1786,Exp
50.0,1.0,5.9555,Exp
150.0,1.0,5.0801,Exp
0.0,1.0,1.501,Exp
100.0,1.0,1.67,Exp
50.0,1.0,1.8261,Exp
100.0,1.0,1.5681,Exp
50.0,1.0,1.3392,Exp
0.0,1.0,1.1851,Exp
50.0,1.0,1.1637,Exp
100.0,1.0,1.9447,Exp
0.0,1.0,4.2042,Exp
50.0,1.0,3.7773,Exp
150.0,1.0,2.6763,Exp
50.0,1.0,2.537,Exp
