angle,corr,rt,trial_type
150.0,1.0,2.7061,Practice
150.0,1.0,2.2746,Practice
150.0,1.0,6.6198,Practice
100.0,1.0,2.62,Practice
100.0,1.0,1.8564,Practice
100.0,1.0,2.1734,Practice
0.0,1.0,0.9997,Practice
100.0,1.0,2.1611,Practice
0.0,1.0,1.7851,Practice
0.0,1.0,1.2156,Practice
0.0,1.0,1.2952,Practice
150.0,1.0,3.4617,Practice
50.0,1.0,2.6589,Practice
150.0,1.0,1.5381,Practice
50.0,1.0,2.3795,Practice
0.0,1.0,1.2402,Practice
150.0,1.0,1.6863,Practice
50.0,1.0,1.372,Practice
50.0,0.0,1.3459,Practice
0.0,1.0,2.2985,Practice
100.0,1.0,1.5086,Practice
50.0,1.0,1.029,Practice
100.0,1.0,2.2225,Practice
50.0,1.0,1.3169,Practice
150.0,1.0,3.3094,Exp
150.0,1.0,1.6362,Exp
100.0,1.0,1.6945,Exp
100.0,1.0,1.7971,Exp
100.0,1.0,2.2161,Exp
150.0,1.0,2.8054,Exp
100.0,1.0,3.4295,Exp
150.0,1.0,2.3816,Exp
100.0,1.0,4.383,Exp
150.0,0.0,4.8701,Exp
50.0,1.0,1.2291,Exp
100.0,1.0,1.6138,Exp
50.0,1.0,2.3179,Exp
100.0,1.0,1.8559,Exp
0.0,0.0,1.7095,Exp
100.0,0.0,2.5908,Exp
150.0,1.0,6.72,Exp
0.0,1.0,2.7222,Exp
150.0,1.0,2.3205,Exp
0.0,1.0,1.0207,Exp
0.0,1.0,1.0977,Exp
0.0,1.0,1.3703,Exp
100.0,1.0,1.8591,Exp
50.0,1.0,6.3129,Exp
100.0,1.0,2.5443,Exp
50.0,1.0,1.6118,Exp
150.0,1.0,2.6117,Exp
0.0,1.0,1.1848,Exp
150.0,1.0,1.7815,Exp
100.0,1.0,2.0994,Exp
150.0,1.0,3.8204,Exp
0.0,1.0,1.0455,Exp
50.0,1.0,1.6401,Exp
0.0,1.0,4.0349,Exp
50.0,1.0,1.7465,Exp
50.0,1.0,1.8558,Exp
150.0,1.0,1.8314,Exp
150.0,1.0,2.1834,Exp
50.0,1.0,2.5945,Exp
0.0,1.0,1.0972,Exp
50.0,1.0,4.2417,Exp
50.0,1.0,1.3455,Exp
150.0,1.0,5.8061,Exp
150.0,1.0,6.1138,Exp
50.0,1.0,2.3537,Exp
50.0,1.0,3.3786,Exp
0.0,1.0,1.1707,Exp
50.0,1.0,2.4133,Exp
50.0,1.0,1.1492,Exp
50.0,1.0,1.5867,Exp
150.0,1.0,2.158,Exp
100.0,1.0,4.6526,Exp
150.0,1.0,2.7039,Exp
150.0,1.0,3.1601,Exp
100.0,1.0,2.8572,Exp
100.0,1.0,1.5409,Exp
0.0,1.0,0.9041,Exp
0.0,1.0,1.3262,Exp
150.0,1.0,3.833,Exp
50.0,1.0,2.4855,Exp
100.0,1.0,5.7547,Exp
0.0,1.0,1.1253,Exp
0.0,0.0,1.2819,Exp
0.0,1.0,5.1642,Exp
100.0,1.0,2.0746,Exp
100.0,1.0,3.6319,Exp
50.0,1.0,2.7282,Exp
150.0,1.0,1.2034,Exp
50.0,1.0,3.5443,Exp
0.0,1.0,3.9151,Exp
0.0,1.0,0.9323,Exp
50.0,1.0,3.0481,Exp
0.0,1.0,1.6398,Exp
150.0,1.0,4.7797,Exp
50.0,1.0,2.87,Exp
150.0,1.0,1.0684,Exp
50.0,1.0,1.5564,Exp
50.0,0.0,1.6898,Exp
100.0,1.0,1.7943,Exp
0.0,1.0,1.7433,Exp
100.0,1.0,3.7586,Exp
100.0,1.0,1.9903,Exp
50.0,1.0,0.9367,Exp
100.0,1.0,1.5849,Exp
0.0,1.0,1.6144,Exp
150.0,1.0,3.5909,Exp
100.0,1.0,1.7264,Exp
0.0,1.0,1.0184,Exp
0.0,1.0,2.7465,Exp
150.0,1.0,2.5133,Exp
0.0,1.0,0.962,Exp
0.0,1.0,1.1215,Exp
150.0,1.0,2.8848,Exp
100.0,1.0,1.5941,Exp
50.0,1.0,1.8321,Exp
100.0,1.0,2.0041,Exp
