angle,corr,rt,trial_type
100.0,0.0,2.4556,Practice
50.0,1.0,1.7163,Practice
0.0,1.0,1.5501,Practice
100.0,1.0,2.0651,Practice
150.0,1.0,1.2813,Practice
0.0,1.0,0.8881,Practice
100.0,1.0,1.0891,Practice
0.0,1.0,0.9346,Practice
150.0,1.0,2.2155,Practice
150.0,1.0,2.0223,Practice
0.0,0.0,1.6885,Practice
50.0,0.0,1.4467,Practice
100.0,1.0,1.1347,Practice
50.0,1.0,1.4813,Practice
50.0,1.0,1.2823,Practice
100.0,0.0,1.2294,Practice
0.0,1.0,1.9259,Practice
0.0,1.0,0.898,Practice
150.0,0.0,1.3813,Practice
100.0,0.0,1.3247,Practice
50.0,1.0,2.1158,Practice
150.0,0.0,1.3234,Practice
150.0,1.0,0.9988,Practice
50.0,1.0,1.2883,Practice
0.0,1.0,1.2356,Exp
50.0,1.0,1.0989,Exp
100.0,1.0,1.2991,Exp
0.0,1.0,0.8513,Exp
0.0,1.0,0.9324,Exp
150.0,1.0,1.0727,Exp
50.0,1.0,1.368,Exp
100.0,1.0,2.0069,Exp
100.0,1.0,1.8423,Exp
150.0,0.0,1.8408,Exp
0.0,1.0,2.2217,Exp
50.0,1.0,2.4483,Exp
0.0,1.0,0.9024,Exp
150.0,1.0,2.2884,Exp
50.0,1.0,0.9178,Exp
50.0,1.0,1.5495,Exp
0.0,1.0,2.0825,Exp
50.0,1.0,1.5669,Exp
0.0,1.0,1.1743,Exp
100.0,1.0,2.7332,Exp
50.0,1.0,1.4738,Exp
100.0,1.0,1.7484,Exp
150.0,0.0,1.3661,Exp
50.0,1.0,0.9015,Exp
0.0,1.0,0.7843,Exp
150.0,0.0,1.2989,Exp
50.0,1.0,1.8704,Exp
150.0,1.0,2.2371,Exp
100.0,1.0,2.1565,Exp
50.0,0.0,3.5236,Exp
100.0,0.0,0.9333,Exp
150.0,1.0,3.8665,Exp
150.0,1.0,1.6741,Exp
100.0,1.0,3.0342,Exp
0.0,1.0,1.5488,Exp
150.0,0.0,1.9703,Exp
50.0,1.0,3.3161,Exp
100.0,1.0,1.7142,Exp
50.0,1.0,4.0514,Exp
150.0,1.0,1.9987,Exp
100.0,1.0,2.2524,Exp
150.0,1.0,2.0372,Exp
100.0,1.0,2.2191,Exp
100.0,1.0,1.1168,Exp
0.0,1.0,1.3818,Exp
0.0,1.0,0.7135,Exp
150.0,1.0,1.9838,Exp
0.0,1.0,0.985,Exp
50.0,1.0,1.4209,Exp
50.0,1.0,2.2571,Exp
0.0,1.0,1.0479,Exp
100.0,1.0,2.7544,Exp
50.0,1.0,5.2041,Exp
0.0,1.0,1.4209,Exp
150.0,1.0,0.8557,Exp
50.0,1.0,1.3313,Exp
150.0,1.0,1.6823,Exp
50.0,1.0,3.4997,Exp
50.0,1.0,2.0369,Exp
0.0,1.0,1.1565,Exp
50.0,1.0,1.6743,Exp
0.0,1.0,2.0898,Exp
150.0,1.0,0.9704,Exp
150.0,1.0,2.4995,Exp
0.0,1.0,0.7737,Exp
0.0,1.0,0.9914,Exp
100.0,1.0,1.7484,Exp
100.0,0.0,2.1828,Exp
0.0,1.0,1.031,Exp
150.0,1.0,2.2991,Exp
150.0,1.0,3.5173,Exp
50.0,1.0,1.1826,Exp
150.0,1.0,1.814,Exp
150.0,1.0,2.6204,Exp
100.0,1.0,2.1222,Exp
50.0,1.0,1.5818,Exp
50.0,1.0,3.738,Exp
100.0,1.0,3.0325,Exp
150.0,1.0,3.3997,Exp
100.0,1.0,3.5535,Exp
150.0,1.0,1.0641,Exp
50.0,1.0,2.2812,Exp
100.0,1.0,1.2532,Exp
0.0,1.0,1.0209,Exp
0.0,1.0,0.7177,Exp
100.0,1.0,1.4681,Exp
150.0,1.0,1.319,Exp
100.0,1.0,1.0491,Exp
50.0,1.0,1.0973,Exp
100.0,1.0,2.2064,Exp
150.0,0.0,1.7089,Exp
0.0,1.0,1.6752,Exp
0.0,1.0,1.3879,Exp
100.0,1.0,4.4022,Exp
100.0,1.0,1.392,Exp
0.0,1.0,1.9218,Exp
