angle,corr,rt,trial_type
150.0,1.0,1.7996,Practice
100.0,0.0,,Practice
50.0,1.0,5.1617,Practice
100.0,1.0,4.7691,Practice
100.0,1.0,3.1167,Practice
0.0,1.0,2.4797,Practice
100.0,1.0,2.6487,Practice
150.0,1.0,3.5645,Practice
150.0,1.0,2.7994,Practice
0.0,1.0,2.9377,Practice
50.0,1.0,2.6541,Practice
150.0,1.0,2.5194,Practice
150.0,0.0,3.485,Practice
0.0,1.0,0.992,Practice
50.0,1.0,1.6035,Practice
0.0,1.0,1.0088,Practice
0.0,1.0,2.2491,Practice
50.0,1.0,3.2553,Practice
0.0,1.0,2.4016,Practice
100.0,1.0,3.3723,Practice
50.0,1.0,1.3224,Practice
100.0,1.0,2.9657,Practice
150.0,1.0,3.9979,Practice
50.0,0.0,3.3546,Practice
50.0,1.0,2.6995,Exp
150.0,1.0,3.7647,Exp
0.0,1.0,1.0007,Exp
0.0,1.0,3.6815,Exp
50.0,1.0,2.915,Exp
150.0,1.0,4.168,Exp
0.0,1.0,4.3405,Exp
150.0,1.0,4.1219,Exp
50.0,1.0,3.4731,Exp
150.0,1.0,4.5394,Exp
150.0,1.0,4.5184,Exp
150.0,1.0,3.9734,Exp
150.0,1.0,3.1988,Exp
100.0,1.0,3.1485,Exp
0.0,1.0,4.3041,Exp
100.0,1.0,4.3472,Exp
50.0,1.0,3.3981,Exp
50.0,1.0,2.6024,Exp
50.0,1.0,3.1151,Exp
50.0,1.0,1.307,Exp
150.0,1.0,3.5161,Exp
150.0,1.0,2.4827,Exp
150.0,1.0,3.3516,Exp
0.0,1.0,1.3197,Exp
50.0,0.0,4.7354,Exp
100.0,1.0,3.8146,Exp
100.0,1.0,3.568,Exp
150.0,1.0,3.4813,Exp
0.0,1.0,2.8527,Exp
100.0,1.0,2.7157,Exp
100.0,1.0,4.7981,Exp
100.0,1.0,4.3716,Exp
100.0,1.0,4.286,Exp
150.0,1.0,3.5978,Exp
100.0,1.0,3.5976,Exp
0.0,1.0,1.9266,Exp
150.0,1.0,3.9476,Exp
150.0,1.0,3.0331,Exp
50.0,1.0,5.0216,Exp
50.0,1.0,3.5193,Exp
0.0,1.0,3.6644,Exp
50.0,1.0,4.5706,Exp
100.0,1.0,4.2823,Exp
150.0,1.0,3.8515,Exp
50.0,1.0,3.2649,Exp
150.0,1.0,3.583,Exp
100.0,1.0,3.3321,Exp
50.0,1.0,4.5528,Exp
50.0,1.0,2.1047,Exp
50.0,1.0,2.9826,Exp
50.0,1.0,3.4157,Exp
0.0,1.0,1.8162,Exp
100.0,1.0,5.3503,Exp
100.0,1.0,4.3145,Exp
50.0,1.0,5.5039,Exp
0.0,1.0,1.6532,Exp
100.0,1.0,4.8793,Exp
0.0,1.0,4.5222,Exp
100.0,0.0,4.597,Exp
0.0,1.0,1.4389,Exp
100.0,1.0,4.4801,Exp
100.0,1.0,5.4302,Exp
0.0,1.0,1.1257,Exp
0.0,1.0,1.6162,Exp
0.0,1.0,1.1427,Exp
100.0,1.0,4.4318,Exp
50.0,1.0,3.6321,Exp
50.0,1.0,4.7883,Exp
0.0,1.0,1.2833,Exp
0.0,1.0,2.7154,Exp
50.0,1.0,3.6473,Exp
0.0,1.0,1.9227,Exp
150.0,1.0,3.3318,Exp
100.0,1.0,4.8028,Exp
0.0,1.0,4.0392,Exp
0.0,1.0,1.7897,Exp
150.0,1.0,4.331,Exp
50.0,1.0,4.3063,Exp
150.0,1.0,5.4136,Exp
150.0,1.0,4.6974,Exp
100.0,0.0,,Exp
50.0,1.0,4.7243,Exp
0.0,1.0,1.9005,Exp
150.0,0.0,2.7369,Exp
100.0,1.0,2.1071,Exp
50.0,1.0,3.8552,Exp
0.0,1.0,5.2714,Exp
100.0,1.0,2.7154,Exp
50.0,1.0,2.1659,Exp
150.0,1.0,2.9989,Exp
100.0,1.0,4.6055,Exp
100.0,0.0,6.4991,Exp
150.0,1.0,2.0,Exp
0.0,1.0,1.7328,Exp
0.0,1.0,3.2846,Exp
150.0,1.0,4.1391,Exp
