angle,corr,rt,trial_type
50.0,0.0,2.4298,Practice
150.0,1.0,2.9321,Practice
100.0,1.0,3.7623,Practice
150.0,0.0,4.0275,Practice
0.0,1.0,1.5203,Practice
0.0,1.0,2.2914,Practice
50.0,1.0,3.4888,Practice
50.0,1.0,7.3745,Practice
100.0,1.0,3.534,Practice
0.0,1.0,1.6326,Practice
50.0,1.0,3.1528,Practice
150.0,1.0,4.7888,Practice
100.0,1.0,4.7571,Practice
150.0,0.0,5.055,Practice
150.0,1.0,2.1192,Practice
50.0,1.0,2.6331,Practice
100.0,1.0,2.2968,Practice
0.0,1.0,1.3563,Practice
50.0,1.0,2.398,Practice
100.0,0.0,2.5822,Practice
0.0,1.0,2.0465,Practice
100.0,1.0,2.5062,Practice
0.0,0.0,1.5641,Practice
150.0,1.0,1.8563,Practice
0.0,1.0,2.6902,Exp
150.0,1.0,2.2697,Exp
50.0,1.0,3.5471,Exp
100.0,1.0,2.1365,Exp
0.0,1.0,1.0759,Exp
50.0,1.0,3.4933,Exp
50.0,0.0,2.137,Exp
150.0,1.0,3.5398,Exp
0.0,1.0,0.9514,Exp
50.0,1.0,2.9706,Exp
100.0,1.0,2.2696,Exp
150.0,1.0,1.6534,Exp
0.0,1.0,1.2924,Exp
150.0,1.0,3.3875,Exp
100.0,1.0,2.0895,Exp
150.0,1.0,2.1097,Exp
50.0,1.0,2.6414,Exp
100.0,1.0,2.8398,Exp
100.0,1.0,2.4541,Exp
0.0,0.0,1.1516,Exp
100.0,1.0,3.0146,Exp
100.0,1.0,2.2955,Exp
0.0,1.0,1.0518,Exp
150.0,1.0,2.0901,Exp
100.0,1.0,3.9898,Exp
150.0,1.0,3.3967,Exp
100.0,1.0,2.1719,Exp
0.0,1.0,0.8541,Exp
100.0,1.0,1.82,Exp
0.0,1.0,0.8775,Exp
50.0,1.0,1.5399,Exp
50.0,1.0,1.4525,Exp
0.0,1.0,2.1737,Exp
0.0,0.0,1.1366,Exp
100.0,1.0,2.5226,Exp
100.0,0.0,2.0459,Exp
50.0,1.0,2.3368,Exp
100.0,1.0,5.2069,Exp
150.0,1.0,2.0503,Exp
50.0,1.0,3.3778,Exp
0.0,0.0,1.3357,Exp
50.0,1.0,2.7553,Exp
150.0,0.0,2.3266,Exp
100.0,1.0,3.1871,Exp
150.0,1.0,2.1215,Exp
0.0,1.0,1.0025,Exp
150.0,0.0,3.8224,Exp
0.0,1.0,0.8438,Exp
50.0,1.0,2.1241,Exp
0.0,1.0,1.4692,Exp
100.0,1.0,2.3864,Exp
50.0,1.0,3.463,Exp
50.0,1.0,2.4911,Exp
150.0,0.0,,Exp
50.0,0.0,2.22,Exp
100.0,1.0,6.5389,Exp
50.0,1.0,2.8555,Exp
50.0,1.0,3.075,Exp
50.0,1.0,3.1538,Exp
150.0,1.0,5.6972,Exp
0.0,1.0,1.1184,Exp
0.0,1.0,1.0055,Exp
0.0,1.0,1.1693,Exp
50.0,1.0,5.193,Exp
150.0,1.0,3.2628,Exp
0.0,0.0,1.1236,Exp
100.0,1.0,3.1541,Exp
150.0,1.0,2.6969,Exp
150.0,1.0,3.6931,Exp
100.0,1.0,2.0563,Exp
50.0,1.0,2.52,Exp
150.0,1.0,5.1135,Exp
100.0,1.0,4.442,Exp
50.0,1.0,1.8193,Exp
150.0,1.0,3.207,Exp
0.0,1.0,4.5654,Exp
0.0,1.0,1.1343,Exp
150.0,1.0,2.3533,Exp
100.0,0.0,2.3371,Exp
0.0,1.0,2.7201,Exp
0.0,1.0,2.27,Exp
100.0,1.0,1.9697,Exp
100.0,1.0,3.6645,Exp
150.0,1.0,7.1249,Exp
150.0,1.0,6.6428,Exp
150.0,1.0,6.4765,Exp
50.0,1.0,7.4257,Exp
100.0,0.0,4.9914,Exp
150.0,1.0,5.7068,Exp
0.0,0.0,7.1097,Exp
150.0,1.0,2.5975,Exp
100.0,1.0,5.4125,Exp
0.0,1.0,3.2416,Exp
50.0,1.0,1.9918,Exp
50.0,1.0,2.4398,Exp
50.0,1.0,2.0871,Exp
