angle,corr,rt,trial_type
100.0,1.0,2.51,Practice
100.0,0.0,2.9999,Practice
50.0,1.0,2.5967,Practice
100.0,1.0,2.6962,Practice
50.0,1.0,2.8136,Practice
150.0,1.0,2.7276,Practice
0.0,1.0,2.0054,Practice
100.0,1.0,2.8677,Practice
0.0,1.0,4.0276,Practice
150.0,1.0,2.569,Practice
150.0,1.0,2.8888,Practice
50.0,1.0,3.4345,Practice
50.0,1.0,3.0838,Practice
50.0,1.0,2.6472,Practice
100.0,1.0,3.1367,Practice
150.0,1.0,2.6465,Practice
50.0,1.0,2.2122,Practice
0.0,1.0,1.759,Practice
100.0,1.0,3.7793,Practice
150.0,0.0,2.2872,Practice
0.0,1.0,2.4076,Practice
150.0,1.0,2.5725,Practice
0.0,1.0,1.2316,Practice
0.0,1.0,1.3997,Practice
0.0,1.0,1.371,Exp
100.0,1.0,2.6694,Exp
100.0,1.0,2.396,Exp
50.0,1.0,1.9326,Exp
150.0,1.0,2.2817,Exp
0.0,1.0,1.0775,Exp
150.0,0.0,2.2872,Exp
0.0,1.0,1.6393,Exp
50.0,1.0,1.4205,Exp
150.0,1.0,1.8505,Exp
0.0,1.0,4.4676,Exp
150.0,1.0,4.6394,Exp
150.0,1.0,2.8823,Exp
100.0,1.0,6.0197,Exp
100.0,1.0,7.3283,Exp
100.0,1.0,2.4479,Exp
50.0,1.0,1.5916,Exp
150.0,1.0,3.314,Exp
0.0,1.0,1.4769,Exp
50.0,1.0,3.9588,Exp
50.0,1.0,4.7192,Exp
50.0,1.0,4.2353,Exp
50.0,1.0,3.0709,Exp
50.0,1.0,1.3082,Exp
150.0,1.0,2.5427,Exp
0.0,1.0,1.0613,Exp
150.0,1.0,3.921,Exp
150.0,1.0,3.8041,Exp
150.0,1.0,3.3534,Exp
0.0,1.0,2.1497,Exp
100.0,1.0,3.1826,Exp
150.0,1.0,3.3292,Exp
0.0,1.0,3.2883,Exp
100.0,1.0,3.7626,Exp
0.0,1.0,1.1794,Exp
100.0,1.0,3.084,Exp
150.0,1.0,4.0626,Exp
100.0,1.0,5.2084,Exp
150.0,1.0,2.592,Exp
150.0,0.0,3.8124,Exp
50.0,1.0,3.1225,Exp
100.0,1.0,1.7156,Exp
100.0,1.0,3.1579,Exp
0.0,1.0,1.0455,Exp
100.0,1.0,1.8582,Exp
150.0,0.0,2.2623,Exp
50.0,1.0,2.4824,Exp
50.0,1.0,2.7543,Exp
150.0,0.0,4.1036,Exp
150.0,1.0,3.9385,Exp
0.0,1.0,2.263,Exp
150.0,1.0,5.5516,Exp
100.0,1.0,3.3937,Exp
150.0,1.0,4.7377,Exp
50.0,1.0,5.0048,Exp
0.0,1.0,1.0935,Exp
0.0,1.0,2.0452,Exp
150.0,1.0,2.239,Exp
0.0,1.0,1.2633,Exp
100.0,1.0,2.353,Exp
100.0,0.0,2.7136,Exp
0.0,1.0,2.2393,Exp
0.0,0.0,,Exp
100.0,1.0,3.5957,Exp
50.0,1.0,2.974,Exp
50.0,1.0,2.8279,Exp
50.0,0.0,2.0201,Exp
100.0,1.0,2.3122,Exp
50.0,1.0,1.285,Exp
50.0,1.0,5.3851,Exp
0.0,1.0,1.3233,Exp
0.0,1.0,1.4394,Exp
0.0,1.0,1.3004,Exp
100.0,1.0,3.9418,Exp
0.0,1.0,2.7211,Exp
50.0,1.0,6.6614,Exp
50.0,1.0,3.6855,Exp
150.0,1.0,1.2524,Exp
50.0,1.0,3.8111,Exp
150.0,1.0,2.912,Exp
100.0,1.0,2.5556,Exp
50.0,1.0,1.0672,Exp
100.0,1.0,2.1757,Exp
100.0,1.0,2.2402,Exp
50.0,1.0,2.6179,Exp
150.0,1.0,1.2531,Exp
100.0,1.0,2.6247,Exp
100.0,1.0,3.5397,Exp
0.0,1.0,1.3342,Exp
50.0,1.0,2.5291,Exp
0.0,1.0,2.8601,Exp
0.0,1.0,1.306,Exp
150.0,1.0,3.4571,Exp
0.0,1.0,3.4327,Exp
50.0,1.0,3.7246,Exp
100.0,1.0,1.3894,Exp
