corr,rt,block_type,trial_type
1.0,0.5180211999686435,step1,practice
1.0,0.440780300006736,step1,practice
1.0,0.423817400005646,step1,practice
1.0,0.5179476999910548,step1,practice
1.0,0.6850856000091881,step1,practice
1.0,0.5772699000081047,step1,practice
0.0,0.6576355999568477,step1,practice
1.0,0.5484395999810658,step1,practice
1.0,0.5953312999918126,step1,practice
1.0,0.5342900999821723,step1,practice
1.0,0.6071052000042982,step1,practice
1.0,0.4771763999597169,step1,practice
1.0,0.4671311000129208,step1,practice
1.0,0.6096287000109442,step1,practice
1.0,0.4600679000141099,step1,practice
1.0,0.4948203999665566,step1,practice
1.0,0.4624755000113509,step1,practice
0.0,0.5644837000290863,step1,practice
1.0,0.6722187999985181,step1,practice
1.0,1.0252541999798268,step1,practice
1.0,0.7746491000289097,step2,practice
1.0,0.4880010000197217,step2,practice
1.0,0.4556678999797441,step2,practice
1.0,0.5278066999744624,step2,practice
1.0,0.5149697000160813,step2,practice
1.0,0.4743161000078544,step2,practice
1.0,0.6602255000034347,step2,practice
1.0,0.8626708000083454,step2,practice
1.0,0.7754397999960929,step2,practice
1.0,0.6743462999584153,step2,practice
1.0,0.7139912000275217,step2,practice
1.0,0.7874716999940574,step2,practice
1.0,0.7579597000149079,step2,practice
1.0,1.2251728000119328,step2,practice
1.0,0.8110543999937363,step2,practice
1.0,0.5865278000128455,step2,practice
1.0,0.524953700019978,step2,practice
0.0,0.8182374000316486,step2,practice
1.0,0.9262507000239566,step2,practice
0.0,0.5815302999690175,step2,practice
1.0,0.712157899979502,step3,practice
1.0,0.5184714000206441,step3,practice
1.0,1.425127499969676,step3,practice
1.0,0.9791818000376225,step3,practice
1.0,0.8240586000028998,step3,practice
0.0,0.638275200035423,step3,practice
1.0,0.5866239000461064,step3,practice
1.0,0.6071481999824755,step3,practice
1.0,0.7936427999520674,step3,practice
0.0,0.7312190000084229,step3,practice
1.0,0.7644796000095084,step3,practice
1.0,0.737264099996537,step3,practice
0.0,0.5507345999940298,step3,practice
1.0,0.8237958999816328,step3,practice
1.0,0.6302368000033312,step3,practice
1.0,0.5404494000249542,step3,practice
1.0,0.5106588999624364,step3,practice
1.0,0.8227499999920838,step3,practice
1.0,1.0910228000138886,step3,practice
1.0,0.4685393000254407,step3,practice
1.0,0.8011782999965362,step3,test
1.0,0.7487951999646612,step3,test
1.0,0.4535899000475183,step3,test
1.0,0.5595137000200339,step3,test
1.0,0.5624958000262268,step3,test
1.0,0.7502569999778643,step3,test
1.0,0.671176900039427,step3,test
1.0,0.5570763000287116,step3,test
1.0,0.4598928999621421,step3,test
1.0,0.6699401000514627,step3,test
1.0,0.5716442000120878,step3,test
1.0,0.5374163999804296,step3,test
0.0,0.9055392000009306,step3,test
1.0,0.310994400002528,step3,test
1.0,0.7225599000230432,step3,test
1.0,0.7957155999611132,step3,test
1.0,0.5063322000205517,step3,test
1.0,0.5218387999921106,step3,test
1.0,0.4700462999753654,step3,test
1.0,0.4259811000083573,step3,test
1.0,0.4940692999516614,step3,test
0.0,0.5805090999929234,step3,test
0.0,0.6351825000019744,step3,test
1.0,0.8272746999864466,step3,test
1.0,0.5526888000313193,step3,test
1.0,0.6716539000044577,step3,test
1.0,0.3576191999600269,step3,test
1.0,0.7131869000149891,step3,test
1.0,0.3907221999834291,step3,test
0.0,0.6162536999909207,step3,test
1.0,0.7385660000145435,step3,test
1.0,0.6077856000047177,step3,test
1.0,0.6230860999785364,step3,test
1.0,0.5484582999488339,step3,test
0.0,0.4236011999892071,step3,test
1.0,0.7097230000072159,step3,test
1.0,0.6211554000037722,step3,test
1.0,1.3204943999880925,step3,test
1.0,1.621002200001385,step3,test
1.0,0.8332272000261582,step3,test
1.0,0.6722374999662861,step4,practice
1.0,1.6477428000071086,step4,practice
1.0,1.504106000007596,step4,practice
0.0,0.529242999968119,step4,practice
0.0,0.809127599990461,step4,practice
1.0,1.2500345999724232,step4,practice
0.0,1.0612363000400364,step4,practice
1.0,0.9781077000079677,step4,practice
1.0,0.8489924999885261,step4,practice
1.0,0.4289103000191971,step4,practice
1.0,0.6531720000202768,step4,practice
1.0,0.7050335999811068,step4,practice
1.0,0.5855140000348911,step4,practice
1.0,0.5144713000045158,step4,practice
1.0,0.3967559000011533,step4,practice
1.0,0.5930459999945015,step4,practice
1.0,0.4826873000129126,step4,practice
1.0,0.5003229000139982,step4,practice
1.0,0.5958266999805346,step4,practice
1.0,0.5045987999765202,step4,practice
1.0,0.7896077000186779,step5,practice
0.0,1.2759661999880336,step5,practice
1.0,1.4729076999938115,step5,practice
1.0,1.5112641000305302,step5,practice
0.0,0.5248174000298604,step5,practice
1.0,1.1080846999539062,step5,practice
1.0,1.10353679995751,step5,practice
1.0,0.906181700003799,step5,practice
1.0,0.8196122999652289,step5,practice
1.0,1.2057945000124164,step5,practice
1.0,0.8403472999925725,step5,practice
1.0,0.6712468000478111,step5,practice
1.0,0.8531276999856345,step5,practice
0.0,0.7053180999937467,step5,practice
1.0,1.5449438999639824,step5,practice
1.0,0.687963199976366,step5,practice
1.0,0.8225668999948539,step5,practice
1.0,1.4277649000287056,step5,practice
1.0,1.1991500000003723,step5,practice
1.0,0.7546554000000469,step5,practice
1.0,0.7188214999623597,step5,test
1.0,0.7622762999963015,step5,test
1.0,1.2541254000389015,step5,test
1.0,0.9302921000053176,step5,test
1.0,0.4053608999820426,step5,test
1.0,0.8166888999985531,step5,test
0.0,0.8322402000194415,step5,test
1.0,0.7411147999810055,step5,test
1.0,0.6052871999563649,step5,test
1.0,0.5077529999543913,step5,test
0.0,0.5892430000239983,step5,test
1.0,0.7237564999959432,step5,test
1.0,0.825466200010851,step5,test
1.0,0.6603771999944001,step5,test
1.0,0.5982002000091597,step5,test
0.0,0.5050512000452727,step5,test
0.0,0.62019029998919,step5,test
1.0,0.7987415000097826,step5,test
1.0,0.9790510999737309,step5,test
1.0,0.5179268000065349,step5,test
0.0,0.8194543999852613,step5,test
1.0,1.0354502000263892,step5,test
1.0,0.8866333999903873,step5,test
1.0,1.2812797999940813,step5,test
0.0,0.6491955000092275,step5,test
1.0,1.3110135000315497,step5,test
1.0,0.8876252999762073,step5,test
1.0,0.5991743999766186,step5,test
1.0,1.1698012000415474,step5,test
0.0,0.8895500999642536,step5,test
1.0,1.2110145000042394,step5,test
1.0,0.9234451000229456,step5,test
1.0,1.5527732000336982,step5,test
1.0,1.2698289999971166,step5,test
1.0,1.2858703000238163,step5,test
1.0,0.8031454000156373,step5,test
1.0,0.8837674999958836,step5,test
1.0,0.850518999970518,step5,test
1.0,0.6606788000208326,step5,test
1.0,0.7082908999873325,step5,test
