corr,rt,block_type,trial_type
1.0,0.7535562999546528,step1,practice
1.0,0.7564711002632976,step1,practice
1.0,0.6533530997112393,step1,practice
1.0,0.5658484995365143,step1,practice
1.0,0.6479978002607822,step1,practice
1.0,0.7536376994103193,step1,practice
1.0,0.5622123004868627,step1,practice
1.0,0.5549099994823337,step1,practice
1.0,0.7771975006908178,step1,practice
1.0,0.4883398003876209,step1,practice
1.0,0.8159960005432367,step1,practice
1.0,0.6996228992938995,step1,practice
1.0,0.7574058994650841,step1,practice
1.0,0.4565767999738455,step1,practice
1.0,0.6102013001218438,step1,practice
1.0,0.4839860005304217,step1,practice
1.0,0.5590043002739549,step1,practice
1.0,0.5978562999516726,step1,practice
1.0,0.5770396003499627,step1,practice
1.0,0.4862243998795748,step1,practice
1.0,0.5469961995258927,step2,practice
1.0,0.6413074005395174,step2,practice
1.0,0.7427864000201225,step2,practice
1.0,0.442361700348556,step2,practice
1.0,0.591605699621141,step2,practice
0.0,0.4993793992325663,step2,practice
1.0,0.9225302003324032,step2,practice
1.0,0.7160796001553535,step2,practice
1.0,0.8038524994626641,step2,practice
1.0,0.5164286000654101,step2,practice
1.0,1.8176095997914672,step2,practice
1.0,0.7785000000149012,step2,practice
1.0,0.7051236005499959,step2,practice
1.0,0.5553311994299293,step2,practice
1.0,0.6788420993834734,step2,practice
1.0,0.5306354006752372,step2,practice
1.0,0.6795894000679255,step2,practice
1.0,0.680969599634409,step2,practice
1.0,0.4700223002582788,step2,practice
1.0,0.5230315998196602,step2,practice
1.0,0.4688355000689626,step3,practice
0.0,0.5169315999373794,step3,practice
1.0,0.8137849001213908,step3,practice
1.0,0.6597563000395894,step3,practice
1.0,0.6911326004192233,step3,practice
1.0,0.7205969998613,step3,practice
1.0,0.6345381997525692,step3,practice
1.0,0.5334703996777534,step3,practice
1.0,0.627174099907279,step3,practice
1.0,0.6625220002606511,step3,practice
1.0,0.4642880000174045,step3,practice
1.0,0.6522409003227949,step3,practice
1.0,0.7204608004540205,step3,practice
1.0,0.5697333002462983,step3,practice
1.0,0.962288400158286,step3,practice
1.0,0.7457916000857949,step3,practice
1.0,0.6313606994226575,step3,practice
1.0,0.6323131993412971,step3,practice
1.0,0.5076920995488763,step3,practice
1.0,0.6037293002009392,step3,practice
1.0,0.5855233995243907,step3,test
1.0,0.6886195000261068,step3,test
1.0,0.5881148995831609,step3,test
1.0,0.538447099737823,step3,test
1.0,0.5900499997660518,step3,test
1.0,0.5546362996101379,step3,test
0.0,0.6826885994523764,step3,test
1.0,0.8657884998247027,step3,test
1.0,0.6561052007600665,step3,test
1.0,0.7397255999967456,step3,test
1.0,0.5991152999922633,step3,test
1.0,0.6125695994123816,step3,test
1.0,0.5539224995300174,step3,test
1.0,0.6854246994480491,step3,test
1.0,0.7955521997064352,step3,test
1.0,0.5843591000884771,step3,test
1.0,0.5386367999017239,step3,test
1.0,0.5036601005122066,step3,test
1.0,0.5546303000301123,step3,test
1.0,0.6325733000412583,step3,test
1.0,0.5209692008793354,step3,test
1.0,0.8174217995256186,step3,test
1.0,0.4748142007738352,step3,test
1.0,0.6220682002604008,step3,test
1.0,0.5700640995055437,step3,test
1.0,0.5440160995349288,step3,test
1.0,0.6214526994153857,step3,test
1.0,0.5875628003850579,step3,test
1.0,0.4446446998044848,step3,test
1.0,0.4836074002087116,step3,test
1.0,0.5366936000064015,step3,test
1.0,0.6768382005393505,step3,test
1.0,0.6643348997458816,step3,test
0.0,0.6186793008819222,step3,test
1.0,0.97087789978832,step3,test
1.0,0.5299902996048331,step3,test
1.0,0.9324614005163312,step3,test
1.0,0.7341628996655345,step3,test
1.0,1.3550410000607371,step3,test
1.0,0.5056306002661586,step3,test
1.0,1.2537815999239683,step4,practice
1.0,0.5830169999971986,step4,practice
1.0,0.6523500997573137,step4,practice
1.0,0.5296857003122568,step4,practice
1.0,0.6682342002168298,step4,practice
1.0,0.6261935997754335,step4,practice
0.0,0.7074263002723455,step4,practice
1.0,0.7413913002237678,step4,practice
1.0,0.5152331003919244,step4,practice
1.0,0.8864706000313163,step4,practice
1.0,0.5637857997789979,step4,practice
1.0,0.5617003003135324,step4,practice
1.0,0.5144031001254916,step4,practice
1.0,0.5501562999561429,step4,practice
1.0,0.6715302998200059,step4,practice
1.0,0.4868224002420902,step4,practice
1.0,0.5694669000804424,step4,practice
1.0,0.429615399800241,step4,practice
1.0,0.6396942995488644,step4,practice
1.0,0.4859356004744768,step4,practice
1.0,1.6935016997158527,step5,practice
0.0,0.6119582001119852,step5,practice
1.0,0.5625945003703237,step5,practice
1.0,0.6749949995428324,step5,practice
1.0,1.207463400438428,step5,practice
1.0,0.6875452995300293,step5,practice
1.0,0.6152039002627134,step5,practice
1.0,0.7321953000500798,step5,practice
1.0,0.5905980998650193,step5,practice
1.0,0.5962336994707584,step5,practice
1.0,0.5176224000751972,step5,practice
1.0,0.7083058003336191,step5,practice
1.0,0.706101500429213,step5,practice
1.0,0.6840262999758124,step5,practice
1.0,0.4968607006594538,step5,practice
1.0,0.8527648001909256,step5,practice
1.0,0.7775055002421141,step5,practice
1.0,0.5621344996616244,step5,practice
1.0,0.5156056992709637,step5,practice
1.0,0.7778509007766843,step5,practice
1.0,0.6406141994521022,step5,test
1.0,0.6621913993731141,step5,test
1.0,0.6195289995521307,step5,test
1.0,0.8626375999301672,step5,test
1.0,1.1475631007924676,step5,test
1.0,0.867450499907136,step5,test
1.0,0.6107286000624299,step5,test
1.0,0.8030627006664872,step5,test
1.0,0.6208979999646544,step5,test
1.0,0.5021733995527029,step5,test
1.0,0.4813680993393063,step5,test
1.0,0.6702594999223948,step5,test
1.0,0.5666136993095279,step5,test
1.0,0.6602234002202749,step5,test
1.0,0.9806362995877862,step5,test
1.0,0.653948400169611,step5,test
1.0,0.720257599838078,step5,test
1.0,0.9209691993892192,step5,test
1.0,0.576193599961698,step5,test
1.0,0.4609889993444085,step5,test
1.0,0.7160452995449305,step5,test
1.0,0.7506726998835802,step5,test
1.0,0.6167813995853066,step5,test
1.0,0.6505771996453404,step5,test
0.0,0.5372049007564783,step5,test
0.0,1.3934619007632136,step5,test
1.0,1.1691204002127051,step5,test
1.0,0.524269999936223,step5,test
1.0,0.5710477996617556,step5,test
1.0,0.7952135000377893,step5,test
1.0,0.6357836006209254,step5,test
1.0,1.5641400003805757,step5,test
1.0,0.7789383996278048,step5,test
1.0,0.5918595995754004,step5,test
1.0,0.7884505996480584,step5,test
1.0,1.5297817001119256,step5,test
1.0,1.8265164997428656,step5,test
1.0,0.5809612004086375,step5,test
1.0,0.6026293998584151,step5,test
1.0,0.5374770006164908,step5,test
